Kinder in stÃƒÂ¤dtischen elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2019/20;;;;;
Gemeindebezirk;Insgesamt;Kinder Ã¢â‚¬â€œ davon inÃ¢â‚¬Â¦;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;Familiengruppen *
Wien;34226;6231;18047;5598;4350
1. Innere Stadt;186;30;102;39;15
2. Leopoldstadt;1874;302;707;438;427
3. LandstraÃƒÅ¸e;1499;282;791;214;212
4. Wieden;431;126;197;31;77
5. Margareten;620;107;393;17;103
6. Mariahilf;374;44;131;142;57
7. Neubau;168;31;95;22;20
8. Josefstadt;318;46;96;136;40
9. Alsergrund;721;123;271;200;127
10. Favoriten;3894;670;2009;598;617
11. Simmering;1677;353;1031;136;157
12. Meidling;1528;244;860;288;136
13. Hietzing;436;46;156;73;161
14. Penzing;1427;346;897;61;123
15. Rudolfsheim-FÃƒÂ¼nfhaus;1021;174;689;75;83
16. Ottakring;1697;254;809;453;181
17. Hernals;885;136;425;324;Ã¢â‚¬â€œ
18. WÃƒÂ¤hring;549;75;336;56;82
19. DÃƒÂ¶bling;1312;121;623;480;88
20. Brigittenau;1645;275;988;277;105
21. Floridsdorf;4667;844;2577;744;502
22. Donaustadt;5009;1053;2564;572;820
23. Liesing;2288;549;1300;222;217
Quelle: Stadt Wien Wiener KindergÃƒÂ¤rten. Berechnung: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
* Kindergruppen gibt es ausschlieÃƒÅ¸lich bei privaten TrÃƒÂ¤gerorganisationen.;;;;;
