Klimatologische Kenntage in Wien seit 1950;;;;;;
Jahr;Frosttage;Eistage;Sommertage;Hitzetage;Sonnenscheindauer (1);
;;;;;h;%
1950;62;31;65;8;1959;45,7982638430143
1951;51;10;51;1;1898;44,3721821204906
1952;93;26;46;13;1847;43,1798842869053
1953;79;20;59;7;2140;50,0297522327977
1954;79;40;41;7;1784;41,707045786594
1955;91;26;25;1;1710;39,9770450084505
1956;102;47;34;3;1937;45,28393928735
1957;56;32;41;10;1822;42,5954245645595
1958;77;12;38;9;1767;41,3096131753988
1959;63;16;36;5;1964;45,9151557874835
1960;62;20;27;2;1761;41,1693428420358
1961;63;28;35;11;2064;48,2529946768665
1962;102;27;42;14;1862;43,5305601203127
1963;112;63;47;17;1919;44,8631282872611
1964;95;42;50;17;1781;41,6369106199125
1965;106;19;27;5;1679;39,2523149527417
1966;65;23;29;2;1753;40,9823157308852
1967;72;14;45;17;2059;48,1361027323974
1968;87;31;39;9;1815;42,4317758423027
1969;97;44;42;6;1887;44,1150198426585
1970;82;31;41;4;1659;38,7847471748651
1971;72;31;42;14;1858;43,4370465647374
1972;62;28;35;13;1601;37,4288006190229
1973;80;12;49;9;1831;42,805830064604
1974;32;3;33;11;1586;37,0781247856155
1975;64;7;51;-;1715;40,0939369529196
1976;80;22;34;8;1740;40,6783966752654
1977;60;23;43;2;1674;39,1354230082726
1978;79;20;25;2;1569;36,6806921744204
1979;70;20;39;6;1746;40,8186670086284
1980;85;27;28;4;1560;36,4702866743759
1981;75;19;48;11;1722;40,2575856751764
1982;66;32;58;6;1779;41,5901538421248
1983;72;17;66;19;1931;45,1436689539871
1984;71;20;29;8;1597;37,3352870634476
1985;77;39;42;10;1696;39,6497475639368
1986;82;38;50;13;1887;44,1150198426585
1987;81;38;45;5;1657;38,7379903970775
1988;67;10;41;17;1835;42,8993436201793
1989;58;12;43;4;1765;41,2628563976112
1990;48;16;44;16;1885;44,0682630648708
1991;73;23;50;12;1750;40,9121805642037
1992;52;10;61;26;1939;45,3306960651377
1993;87;31;63;15;1976;46,1956964542094
1994;43;10;75;28;2053;47,9958323990344
1995;74;21;64;15;1868;43,6708304536757
1996;97;49;45;6;1803;42,1512351755767
1997;70;20;63;3;2049;47,9023188434591
1998;76;20;65;20;1978;46,2424532319971
1999;70;21;58;9;1960;45,8216422319082
2000;45;17;71;26;2113;49,3985357326642
2001;71;15;66;21;1912;44,6994795650043
2002;54;24;77;18;1998;46,7100210098737
2003;88;22;102;40;2305;53,8871864002797
2004;74;20;54;9;1939;45,3306960651377
2005;82;25;65;12;2107;49,2582653993013
2006;79;23;61;22;2228;52,0870504554548
2007;40;16;84;22;2203;51,502590733109
2008;47;8;74;8;2038;47,6451565656269
2009;57;25;74;14;2032;47,504886232264
2010;86;35;56;15;1882;43,9981278981894
2011;70;12;77;18;2242;52
2012;59;19;89;31;2205;52
2013;67;17;68;26;1993;47
2014;30;10;60;13;1967;46
2015;41;2;78;42;2115;49
2016;51;13;85;20;2069;48
2017;57;21;85;38;2164;50
2018;54;13;113;37;2188;51
2019;46;3;87;38;2148;50
Quelle: ZAMG Ã¢â‚¬â€œ Klimaabteilung.;;;;;;
(1) Der Prozentanteil bezieht sich auf die maximal mÃƒÂ¶gliche Sonnenscheindauer in Wien.;;;;;;
