Krankenanstalten in Wien seit 1981;;;;;;;
Jahr *;Zahl der
Krankenanstalten;Systematisierte Betten;TatsÃƒÂ¤chlich
aufgestellte Betten;Ãƒâ€žrztinnen
und Ãƒâ€žrzte;Personen in
nicht ÃƒÂ¤rztlichen
Gesundheitsberufen;StationÃƒÂ¤re
Patientinnen
und Patienten;ÃƒËœ Belagsdauer
in Tagen **
1981;50;22946;.;3331;10594;369672;15,2
1982;51;23014;.;3364;11003;380044;14,2456987363227
1983;50;22603;.;3434;11029;389318;13,695449374289
1984;51;22353;.;3485;12165;396401;13,3651529329006
1985;51;22147;.;3484;12871;404163;12,7627824575826
1986;53;21871;.;3554;13239;409789;12,1831949006205
1987;54;21732;.;3531;13425;418820;11,6859901145546
1988;54;21720;.;3610;13599;393589;12,4971024220096
1989;56;21786;20639;3756;15455;416660;10,2
1990;56;21451;20148;3972;16260;420460;9,9
1991;56;21509;19687;4242;17260;430831;9,3
1992;57;21483;19677;4693;18413;443483;9
1993;57;21186;19667;4832;18747;453955;8,8
1994;56;20783;19720;5143;19832;464131;8,4
1995;57;20468;19649;5122;20020;489681;8
1996;55;20003;19202;5136;20519;506624;7,7
1997;55;19658;19146;5228;20309;565441;6,92390195997613
1998;55;19514;18671;5198;20258;587272;6,64850592700086
1999;51;19052;18321;5367;20718;604045;6,43576593993518
2000;49;18743;17880;5382;20633;605616;6,25293615203929
2001;47;18713;17904;5527;20724;630847;6
2002;48;18905;17798;5695;20639;648527;5,8
2003;48;19093;17701;5762;20873;633112;5,9
2004;40;14237;13360;5561;18845;574210;6,63246373278069
2005;40;14237;13360;5561;18845;574210;6,63246373278069
2006;38;14108;13035;5675;19548;592874;6,58868157483715
2007;39;14140;13061;5752;19581;602123;6,2534166607155
2008;38;14098;12909;5946;19922;612198;6,4
2009;38;14069;12900;6044;20282;614923;6,3
2010;38;14058;12907;6226;20226;623243;6,2
2011;41;14544;13210;6330;20709;626712;6,3
2012;41;14464;13099;6523;21056;636129;6,2
2013;42;14753;13398;6563;21202;636912;6,2
2014;44;15356;13802;6727;21747;646462;6,34613016697037
2015;47;16029;14491;6841;22688;650417;6,6
2016;47;15831;14612;6859;22829;670934;6,5
2017;46;15666;14572;6528;23313;682485;6
2018;45;15218;14172;6608;23424;564301;8
2019;46;15206;14319;7295;24130;570292;7,48051173784658
Quelle: 1981Ã¢â‚¬â€œ2003: Statistische JahrbÃƒÂ¼cher der Stadt Wien, ab 2004: Bundesministerium fÃƒÂ¼r Arbeit, Soziales, Gesundheit und Konsumentenschutz.;;;;;;;
Anmerkung: Als Krankenanstalt der Stadt Wien gilt weiters das Therapiezentrum Ybbs an der Donau, welches in dieser Tabelle jedoch nicht mit eingerechnet wird, da es sich nicht in Wien befindet.;;;;;;;
* Ab 2004: GeÃƒÂ¤nderte Krankenanstaltentypisierung, ohne Pflegebereich (Ausnahme: Haus der Barmherzigkeit SeebÃƒÂ¶ckgasse). Ab 2007: ZusÃƒÂ¤tzliches als Spital bescheidetes Pflegeheim: Haus der Barmherzigkeit TokiostraÃƒÅ¸e.
** Bis inklusive 1988: Pflegetage, ab 1989: Betten-Belagstage.;;;;;;;
