Krankenanstalten in Wien 2019;;;;;;
Krankenanstalt
(Gemeindebezirk);Systematisierte
Betten;TatsÃƒÂ¤chlich
aufgestellte Betten;Ãƒâ€žrztinnen
und Ãƒâ€žrzte;Personen in
nicht ÃƒÂ¤rztlichen
Gesundheits-berufen;StationÃƒÂ¤re
Patientinnen
und Patienten;ÃƒËœ Belagsdauer
in Tagen
Wien *;15206;14319;7295;24130;570292;7,48051173784658
GemeinnÃƒÂ¼tzige Krankenanstalten in stÃƒÂ¤dtischer Verwaltung;;;;;;
Insgesamt;9901;9365;5268;17334;290141;9,84414819001796
SpitÃƒÂ¤ler;7407;6860;5153;15200;286921;6,85722550806668
Allgemeines Krankenhaus der Stadt Wien (9.);1763;1621;1761;4848;77499;6,277732615904
WGV Klinik LandstraÃƒÅ¸e (3.);699;712;447;1243;33197;5,490375636352
WGV Klinik Favoriten (10.) **;781;745;446;1346;29631;7,382673551348
WGV Klinik Hietzing (13.);1001;983;537;1633;40824;6,817386831275
WGV Klinik Penzing (14.) ***;453;480;182;814;10212;13,377790834312
WGV Klinik Ottakring (16.);983;899;560;1700;35490;7,557790927021
WGV Klinik Floridsdorf (21.) ****;756;387;472;1409;11550;7,820432900432
ehem. OrthopÃƒÂ¤disches Krankenhaus Gersthof (18.) (4);Ã¢â‚¬â€œ;34;39;141;1164;7,001718213058
ehem. SMZ Floridsdorf (21.) (4);Ã¢â‚¬â€œ;58;114;319;2142;7,065359477124
WGV Klinik Donaustadt (22.);971;941;595;1747;45212;6,263403521189
PflegewohnhÃƒÂ¤user *****;2494;2505;115;2134;3220;275,996583850932
WGV Pflegewohnhaus Leopoldstadt (2.);306;306;12;230;369;293,59891598916
WGV Pflegewohnhaus Innerfavoriten (10.);266;266;8;215;409;228,867970660147
WGV Pflegewohnhaus Simmering (11.);348;348;14;274;307;405,107491856678
WGV Pflegewohnhaus Meidling (12.);256;256;9;198;281;324,804270462633
WGV Pflegewohnhaus Baumgarten (14.);290;303;24;295;774;136,803617571059
WGV Pflegewohnhaus Rudolfsheim (15.);324;324;11;265;369;312,888888888889
WGV Pflegewohnhaus Donaustadt (22.);382;380;25;400;420;320,069047619048
WGV Pflegewohnhaus Liesing (23.);322;322;12;257;291;396,408934707904
