P0071;;;;;;;;;vormals E0071
Inanspruchnahme von Vorsorgeuntersuchungen (BevÃƒÂ¶lkerung ab 18 Jahren) in Wien nach Geschlecht seit 1999;;;;;;;;;
Jahr;Allgemeines Untersuchungsprogramm;;;;;;GynÃƒÂ¤kologisches
Untersuchungs-
programm;;
;insgesamt;;MÃƒÂ¤nner;;Frauen;;;;
;absolut;Anteil an BevÃƒÂ¶lkerung (in %);absolut;Anteil an mÃƒÂ¤nnlicher BevÃƒÂ¶lkerung (in %);absolut;Anteil an weiblicher BevÃƒÂ¶lkerung (in %);absolut;Anteil an weiblicher BevÃƒÂ¶lkerung (in %);
1999;97969;7,69294796743754;45021;7,6909804671885;52948;7,6946216995075;3690;0,53624601630246;
2000;102149;7,98762941415658;47003;7,96426138731967;55146;8,00765538011169;3422;0,496902707553444;
2001;112207;8,7079578163791;50654;8,47762852676644;61553;8,90710580199839;3630;0,525283805196403;
2002;123038;9,42869776256369;56909;9,35660111505155;66129;9,4916378167037;3506;0,503223732180483;
2003;133314;10,1095707789012;61475;9,97635534812165;71839;10,2264250858383;3701;0,526844739524317;
2004;142427;10,6793765146244;63869;10,2304162228398;78558;11,0745052928066;4364;0,615203303263933;
2005;137713;10,1865734847146;62743;9,88604958229735;74970;10,4524953119227;3949;0,550578951404332;
2006;154148;11,2884941546591;71629;11,1565047551703;82519;11,40562326709;4285;0,592264759624821;
2007;171333;12,467636233447;79565;12,3084086704165;91768;12,6090624544857;3924;0,539163554522296;
2008;182897;13,2172117079389;84132;12,915249241652;98765;13,4857987091101;4045;0,552321731163371;
2009;168563;12,1026553425279;77025;11,7377867585879;91538;12,4277217291664;18057;2,45152145844958;
2010;173686;12,3825540915984;79625;12,0389115765569;94061;12,6891685890431;27870;3,75976364887288;
2011;181540;12,8391820661649;83004;12,4339944004782;98536;13,2015712838761;35260;4,72403389085686;
2012;192317;13,4400569142736;87363;12,9070050896412;104954;13,9185395307264;41017;5,43949478754315;
2013;197726;13,5933209678107;89439;12,9685078074364;108287;14,1566623394111;44003;5,75263524634634;
2014;199241;13,4774100287283;90659;12,901724660554;108582;13,9989479709764;56081;7,23024996003321;
2015;200912;13,1648024742322;92041;12,5938301301786;108871;13,6895061914677;73492;9,24092907223547;
2016;214793;14;98540;13,4;116253;14,5;82378;10,3;
2017;224509;14,4;102459;13,7;122050;15,1;85850;10,6;
2018;236056;15,1;107770;14,3;128286;15,8;84933;10,5;
2019;256371;16,3;115787;15,3;140584;17,2;88835;10,9;
Quelle: Hauptverband der ÃƒÂ¶sterreichischen SozialversicherungstrÃƒÂ¤ger, Statistik Austria und Berechnungen der Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
