ArbeitsunfÃƒÂ¤lle und Berufskrankheiten in Wien nach WirtschaftstÃƒÂ¤tigkeiten und Geschlecht 2019;;;;;;;;
WirtschaftstÃƒÂ¤tigkeit (Ãƒâ€“NACE 2008);ArbeitsunfÃƒÂ¤lle (inkl. WegunfÃƒÂ¤lle);;;;Berufskrankheiten;;;
;insgesamt;Geschlecht;;darunter
tÃƒÂ¶dlich;insgesamt;Geschlecht;;darunter tÃƒÂ¶dlich
;;MÃƒÂ¤nner;Frauen;;;MÃƒÂ¤nner;Frauen;
Wien;18122;11290;6832;6;93;84;9;15
Land- und Forstwirtschaft, Fischerei;26;20;6;0;0;0;0;0
Bergbau und Gewinnung von Steinen und Erden;2;1;1;0;0;0;0;0
Herstellung von Waren;1301;992;309;0;27;23;4;4
Energieversorgung;78;61;17;0;1;1;0;1
Wasserversorgung, Abwasser- und Abfallentsorgung
und Beseitigung von Umweltverschmutzungen;53;51;2;0;0;0;0;0
Bau;2831;2763;68;3;30;30;0;7
Handel, Instandhaltung und Reparatur von Kraftfahrzeugen;2596;1334;1262;0;9;9;0;0
Verkehr und Lagerei;919;750;169;0;1;1;0;1
Beherbergung und Gastronomie;1787;1103;684;0;3;2;1;0
Information und Kommunikation;442;312;130;0;0;0;0;0
Erbringung von Finanz- und Versicherungs- Dienstleistungen;298;122;176;0;0;0;0;0
GrundstÃƒÂ¼cks- und Wohnungswesen;258;111;147;0;0;0;0;0
Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen;607;290;317;0;2;2;0;0
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;2286;1590;696;2;6;5;1;0
Ãƒâ€“ffentliche Verwaltung, Verteidigung, Sozialversicherung;1286;455;831;0;6;6;0;1
Erziehung und Unterricht;591;230;361;0;0;0;0;0
Gesundheits- und Sozialwesen;1901;607;1294;1;2;1;1;0
Kunst, Unterhaltung und Erholung;463;325;138;0;0;0;0;0
Erbringung von sonstigen Dienstleistungen;363;159;204;0;3;1;2;0
Private Haushalte mit Hauspersonal, Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte fÃƒÂ¼r den Eigenbedarf ohne ausgeprÃƒÂ¤gtem Schwerpunkt;12;2;10;0;0;0;0;0
Exterritoriale Organisationen und KÃƒÂ¶rperschaften;15;8;7;0;0;0;0;0
Kein Wert vorhanden/nicht relevant;7;4;3;0;3;3;0;1
Quelle: Allgemeine Unfallversicherungsanstalt.;;;;;;;;
Anmerkung: VorlÃƒÂ¤ufige Zahlen. Ohne selbststÃƒÂ¤ndig ErwerbstÃƒÂ¤tige und ohne sonstige im Schadensfall geschÃƒÂ¼tzte Personen. Betriebsort ist Wien.;;;;;;;;
