Soziale Dienste in Wien – Jahresaufwand seit 2015;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;
;2015;2016,0;2017,0;2018,0;2019;2020;2021
;1,000 EUR;;;;;;
Jahresaufwand;253540;257546,98800000004;250644,0;244030,0;243944;246150;252149
Heimhilfe;135007;135857,7;130750,0;130867,0;134086;135487;138766
Hauskrankenpflege;75284;78326,885;77360,0;76194,0;75330;81398;80250
Medizinische Hauskrankenpflege (1);7026;7055,297;7750,0;2666,0;–;–;–
24-Stunden-Betreuung zu Hause (2);5519;5936,529;6350,0;6145,0;5783;5520;5285
Besuchsdienst;10151;10578,179;9520,0;8779,0;8622;8554;8587
Essen auf Rädern;1388;1018,553;810,0;653,0;549;465;380
Wäscheservice-Zustelldienst;78;65,945;54,0;49,0;41;36;33
Tageszentren;19087;18707,9;18050,0;18677,0;19533;14690;18848
Quelle: Fonds Soziales Wien,;;;;;;;
"(1) Seit dem 2, Quartal 2018 wird die Leistung zur Gänze von der Sozialversicherung und nicht mehr aus dem FSW-Budget fiziert,
(2) Dargestellt ist der 40%-Kosteteil des Landes Wien für die Bund-Länder-geförderte 24-Stunden-Betreuung,";;;;;;;
;;;;;;;
