Soziale Dienste in Wien – BezieherInnen (1) seit 2016;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;
;2016;2017,0;2018,0;2019,0;2020;2021,0
Mobile persönliche Betreuungs- und Pflegedienste (2);;;;;;
Insgesamt;30600;30880,0;30800,0;28450,0;27640;27280,0
Heimhilfe;22790;22530,0;23100,0;23180,0;22150;22050,0
Hauskrankenpflege;9390;9300,0;8920,0;8750,0;9610;10010,0
Medizinische Hauskrankenpflege (3);7330;7590,0;6470,0;5280,0;4510;4540,0
24-Stunden-Betreuung zu Hause;3410;3670,0;3290,0;3070,0;3050;2720,0
Mobile persönliche Beratungs- und Unterstützungsdienste;;;;;;
Insgesamt (4);7500;7220,0;6910,0;6960,0;6513;6580,0
Besuchsdienst;6340;5870,0;5700,0;5750,0;5460;5280,0
Essen auf Rädern (5);920;670,0;490,0;390,0;300;230,0
Wäscheservice;170;130,0;110,0;90,0;70;65,0
Teilstationäre Einrichtungen;;;;;;
Insgesamt;2130;2190,0;2200,0;2190,0;1920;1800,0
Tageszentren;2130;2190,0;2200,0;2190,0;1920;1800,0
Quelle: Fonds Soziales Wien,;;;;;;
"(1) Die Summe der BezieherInnen der einzelnen Leistungen ist größer als die hier angegebene Gesamtzahl, da Personen mehrere Leistungen gleichzeitig bzw, hintereider im Laufe des Jahres in Anspruch nehmen können,
(2) Inklusive der BezieherInnen von Pflegenotruf und Akut-Interventionsdienst,
(3) Seit dem 2, Quartal 2018 wird die Leistung zur Gänze von der Sozialversicherung und nicht mehr aus dem FSW-Budget fiziert,
(4) Inklusive ""Sonder-Reinigungsdienst"", 
(5) Die überwiegende Anzahl bezieht verschiedene Angebote von ""Essen auf Rädern"" ohne öffentliche Förderung, Von den hier angegebenen BezieherInnen erhalten die meisten die Förderung für die Zustellung und ein kleiner Anteil auch für das Essen selbst,";;;;;;
