Beitragspflichtige Bruttomonatseinkommen am Arbeitsort Wien nach Wirtschaftstätigkeiten und Geschlecht 2020;;;;;;
"Abschnitt 
(ÖNACE 2008)";Bruttomonatseinkommen (1);;;;;
;Männer;;;Frauen;;
;25 %;50 %;75 %;25 %;50 %;75 %
;,,, der ArbeitnehmerInnen verdienen weniger als ,,, EUR;;;;;
WirtschaftskIassen insgesamt;2162;3102;4749;1769;2606;3774
Land- und Forstwirtschaft_ Fischerei;1268;1691;2102;1157;1664;1824
Bergbau und Gewinnung von Steinen und Erden;5908;–;–;3629;5337;–
Herstellung von Waren;2971;4140;5754;2075;3114;4529
Energieversorgung;3961;5338;–;2900;3960;5447
Wasserversorgung_ Abwasser- und Abfallentsorgung;2310;3158;4181;2100;2978;4346
Bau;2448;2987;3697;1591;2594;3712
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;2056;2917;4623;1595;2214;3309
Verkehr und Lagerei;1773;2769;3612;1831;2788;3750
Beherbergung und Gastronomie;1402;1867;2315;1077;1681;2040
Information und Kommunikation;3468;4933;6229;2426;3591;4980
Erbringung von Fiz- und Versicherungsdienstleistungen;3698;5585;–;2882;4165;5546
Grundstücks- und Wohnungswesen;1811;3115;4877;1460;2555;3732
"Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen";2472;3950;5712;1919;2966;4174
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1945;2439;3107;1399;1866;2520
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2165;3019;4709;2520;3256;4223
Erziehung und Unterricht;1227;2382;3346;1658;2312;2935
Gesundheits- und Sozialwesen;1792;2648;3617;1776;2473;3272
Kunst, Unterhaltung und Erholung;1723;2847;4287;1414;2364;3543
Erbringung von sonstigen Dienstleistungen;1729;2923;4693;1469;2188;3514
Private Haushalte;812;1388;2156;973;1479;2144
Exterritoriale Organisationen und Körperschaften;3035;3739;5156;2661;3597;4802
Wirtschaftsklasse nicht bekannt;2142;3299;5008;1849;2840;4084
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;;;
(1) In einigen Kategorien nicht verfügbar, da das Einkommen über der Höchstbeitragsgrundlage liegt,;;;;;;
;;;;;;
