Bruttogehälter und Bruttolöhne in Wien nach Wirtschaftstätigkeiten und Geschlecht 2020;;;;;;
"Abschnitt
(ÖNACE 2008)";Angestellte – Bruttogehälter (1);;;ArbeiterInnen – Bruttolöhne (1);;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
;EUR;;;;;
WirtschaftskIassen insgesamt;3350;3991;2979;2212;2481;1787
Land- und Forstwirtschaft_ Fischerei;2579;3268;2403;1684;1690;1630
Bergbau und Gewinnung von Steinen und Erden;–;–;5374;2473;3079;1867
Herstellung von Waren;4750;5249;3827;2908;3152;2156
Energieversorgung;4938;5431;3964;4869;4924;3387
Wasserversorgung_ Abwasser- und Abfallentsorgung;3956;4675;3217;2786;2838;1407
Bau;3667;4331;2824;2869;2884;1490
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;2725;3504;2331;2125;2339;1679
Verkehr und Lagerei;3529;3848;2995;2261;2276;1961
Beherbergung und Gastronomie;2383;2580;2262;1796;1834;1547
Information und Kommunikation;4441;4966;3617;1635;1987;1201
Erbringung von Fiz- und Versicherungsdienstleistungen;4821;5628;4186;2217;2402;1577
Grundstücks- und Wohnungswesen;3267;3726;3021;1910;2360;1565
"Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen";3458;4149;3034;1887;2279;1340
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;2728;3088;2472;2047;2330;1650
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;3337;3067;3461;2619;2947;2434
Erziehung und Unterricht;2433;2434;2432;1864;2056;1855
Gesundheits- und Sozialwesen;2673;2915;2599;1899;1820;1934
Kunst, Unterhaltung und Erholung;2908;3167;2599;1742;1907;1437
Erbringung von sonstigen Dienstleistungen;3133;3515;2911;1634;1805;1571
Private Haushalte;1637;1630;1638;1313;1147;1335
Exterritoriale Organisationen und Körperschaften;3739;3926;3696;3016;3514;2280
Wirtschaftsklasse nicht bekannt;3062;3365;2859;1600;1977;1205
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;;;
(1) Medianeinkommen,;;;;;;
;;;;;;
