Soziale Dienste in Wien – Jahresaufwand für Menschen mit Behinderung seit 2016;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;
;2016;2017,0;2018,0;2019;2020,0;2021,0
;1,000 EUR;;;;;
Jahresaufwand;270878,53368;290500,0;289356,0;312080;316070,0;326560,0
Tagesstruktur inkl, Essen und Taschengeld;70555,58717;73397,0;75003,0;79726;73461,0;75680,0
Berufsintegration (mit Projekten), Lehrlingsausbildung und Lohnkostenzuschüsse;8180,625;10889,0;8355,0;10181;9680,0;8558,0
Integration – Bildung, Beratung, Assistenz;39912;42869,0;41582,0;42502;40831,0;45533,0
Regelfahrtendienst samt Mobilitätskonzept;18733,497;19268,0;19422,0;21535;18737,0;18669,0
Freizeitfahrtendienst;2989;2920,0;2767,0;3105;2812,0;1655,0
Mobilität und Transportdienste;1493,967;1497,0;1538,0;1544;1569,0;1454,0
Wohnen für Menschen mit Behinderung (Vollbetreutes Wohnen);102009,782;106790,0;106150,0;111461;120348,0;120341,0
Wohnen für Menschen mit Behinderung (Teilbetreutes Wohnen);27004,07551;32870,0;34539,0;42026;48632,0;54670,0
Quelle: Fonds Soziales Wien,;;;;;;
;;;;;;
;;;;;;
