Krankenversicherung – Bezugsberechtigte Mitglieder in Wien nach Geschlecht zum Stichtag 31, 12, des jeweiligen Jahres;;;;;;;;;
"Versicherungsanstalt
Träger (1)";Berichtsjahr;;;;;;;;
;2020;;;2021;;;2022;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Bezugsberechtigte Mitglieder (2);2053718;995060;1058658;2067770;1003127;1064643;2119269;1025647;1093622
ÖGK Wien;1428980;668906;760074;1428251;668257;759994;1468574;685517;783057
SVS - gewerbliche Wirtschaft;173195;96189;77006;178829;99436;79393;183186;101601;81585
ÖGK übrige Bundesländer;148403;86273;62130;155261;91203;64058;158693;93121;65572
BVAEB - öffentlich Bedienstete;141009;68304;72705;141883;68562;73321;142461;68583;73878
KFA;131864;57785;74079;133228;57978;75250;135343;58747;76596
BVAEB - Eisenbahnen und Bergbau;26246;15567;10679;26287;15620;10667;26952;16011;10941
SVS - Landwirtschaft;4021;2036;1985;4031;2071;1960;4060;2067;1993
Quelle: Hauptverband der österreichischen Sozialversicherungsträger und KFA,;;;;;;;;;
"(1) Verwendete Abkürzungen: ÖGK = Österreichische Gesundheitskasse_ KFA = Krankenfürsorgeanstalt der Bediensteten der Stadt Wien_ BVAEB = Versicherungsanstalt für öffentlich Bedienstete, Eisenbahnen und Bergbau_ SVS = Sozialversicherung der Selbstständigen,
(2) Bezugsberechtigte sind Beitragsleistende plus Angehörige, Die Erfassung erfolgt personenbezogen, das heißt, dass eine Person bei ein und demselben Versicherungsträger nur einmal gezählt wird, Hat diese Person auch ein Versicherungsverhältnis zu einem anderen Versicherungsträger, so wird sie dort auch einmal als Person gezählt,";;;;;;;;;
;;;;;;;;;
