Soziale Dienste in Wien – Erlöse (1) seit 2015;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;
;2015;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0
;1,000 EUR;;;;;;
Jahreserlöse;62219;64367,06408;66219,0;63603,0;63171,0;63977,0;63699,0
Heimhilfe;39336;39543,857;38661,0;38658,0;38840,0;39133,0;36324,0
Hauskrankenpflege;17798;18312,937;18338,0;18286,0;18004,0;17660,0;16745,0
Besuchsdienst;2810;2987,859;2691,0;2548,0;2530,0;2495,0;2247,0
Essen auf Rädern;103;73,796;54,0;40,0;30,0;22,0;14,0
Wäscheservice;15;13,065;11,0;9,0;7,0;6,0;6,0
Tageszentren;2185;2282,078;2320,0;2312,0;2406,0;1508,0;1735,0
Quelle: Fonds Soziales Wien,;;;;;;;
"(1) Als Erlöse sind die Kostenbeiträge der Kundinnen und Kunden angeführt (Jahressumme für Ambulante Pflege gemäß Rechnungsabschluss), Der angegebene Gesamtbetrag weicht ab von der Summe der Einzelposten, weil darin die Erlöse aus Verlassenschaften enthalten sind, welche nicht einzelnen Leistungen zuordenbar sind, Ab 2016 wurde das Rechnungslegungsänderungsgesetz schlagend und es sind die ""Erlöse gesamt"" angegeben,";;;;;;;
;;;;;;;
