Beitragspflichtige Bruttomonatseinkommen am Arbeitsort nach Wirtschaftstätigkeiten 2020;;;;;;
"Abschnitt 
(ÖNACE 2008)";Bruttomonatseinkommen (1);;;;;
;Wien;;;Österreich;;
;25 %;50 %;75 %;25 %;50 %;75 %
;,,, der ArbeitnehmerInnen verdienen weniger als ,,, EUR;;;;;
WirtschaftskIassen insgesamt;1956;2878;4245;1959;2841;3918
Land- und Forstwirtschaft_ Fischerei;1265;1689;1917;1223;1669;1990
Bergbau und Gewinnung von Steinen und Erden;5460;6262;–;3017;3680;4768
Herstellung von Waren;2660;3831;5394;2668;3470;4607
Energieversorgung;3562;4933;6224;3446;4886;6254
Wasserversorgung_ Abwasser- und Abfallentsorgung;2260;3120;4207;2252;2852;3638
Bau;2399;2965;3698;2584;3166;3821
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;1778;2539;3873;1728;2427;3409
Verkehr und Lagerei;1781;2773;3639;2018;2729;3474
Beherbergung und Gastronomie;1232;1809;2191;1367;1929;2472
Information und Kommunikation;3019;4416;5952;2783;4083;5606
Erbringung von Fiz- und Versicherungsdienstleistungen;3179;4789;–;2716;4121;5784
Grundstücks- und Wohnungswesen;1587;2782;4136;1585;2626;3883
"Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen";2122;3343;4914;1991;3114;4550
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;1635;2197;2928;1717;2369;2993
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;2263;3186;4422;2204;3113;4193
Erziehung und Unterricht;1562;2331;3037;1412;2396;3412
Gesundheits- und Sozialwesen;1782;2511;3364;1614;2351;3248
Kunst, Unterhaltung und Erholung;1551;2631;3916;1469;2378;3465
Erbringung von sonstigen Dienstleistungen;1544;2437;3915;1435;2075;3279
Private Haushalte;933;1472;2144;933;1378;2102
Exterritoriale Organisationen und Körperschaften;2871;3696;4950;2858;3695;4934
Wirtschaftsklasse nicht bekannt;1977;3005;4679;1781;2960;4910
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;;;
(1) In einigen Kategorien nicht verfügbar, da das Einkommen über der Höchstbeitragsgrundlage liegt,;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;–
