Jahresaufwand für Sozialhilfe (Mindestsicherung) in Wien seit 2016;;;;;;
Leistung;Berichtsjahr;;;;;
;2016;2017,0;2018,0;2019,0;2020;2021,0
;1,000 EUR;;;;;
Insgesamt;659733;690831,0;668577,0;649412,0;700477;738081,0
Dauerleistungen und Mietbeihilfen;130165;132458,0;126876,0;116731,0;147447;157803,0
Geldaushilfen zur Sicherung des Lebensbedarfs;487520;516567,0;501398,0;499907,0;513382;540203,0
Hilfen in besonderen Lebenslagen;9738;7930,0;7085,0;8012,0;5562;3962,0
Krankenhilfe;32310;33876,0;33218,0;24762,0;34086;36113,0
Quelle: Stadt Wien Soziales, Sozial- und Gesundheitsrecht,;;;;;;
;;;;;;
;;;;;;
