Durchschnittliche monatliche Verbrauchsausgaben pro Haushalt in Wien und Österreich 2019/20;;;;
Ausgabengruppe;Wien;;Österreich;
;EUR;%;EUR;%
Verbrauchsausgaben insgesamt;2930;100;3250;100
Ernährung, alkoholfreie Getränke;353;12,04778156996587;392;12,061538461538461
Ernährung;314;10,716723549488055;351;10,8
Brot, Getreideprodukte;62,6;2,1365187713310583;69,1;2,126153846153846
Fleischwaren;57,8;1,9726962457337884;77,2;2,375384615384615
Fisch, Meerestiere;12;0,40955631399317405;11,8;0,3630769230769231
Milchprodukte, Eier;43,6;1,4880546075085326;51,4;1,5815384615384616
Speiseöl, Fett;8,2;0,27986348122866894;11,7;0,36
Obst;33,8;1,1535836177474401;32,1;0,9876923076923076
Gemüse;38,2;1,3037542662116042;38,9;1,1969230769230768
Süßwaren;23,5;0,8020477815699658;26,5;0,8153846153846154
Fertiggerichte, Gewürze, Backzutaten;19;0,6484641638225256;19,3;0,5938461538461538
Rest;15,30000000000004;0,5221843003412983;12,99999999999999;0,3999999999999997
Alkoholfreie Getränke;39;1,3310580204778157;41,2;1,2676923076923077
Alkoholische Getränke, Tabakwaren;70,1;2,3924914675767917;76;2,3384615384615386
Alkoholische Getränke;35,1;1,1979522184300342;40,8;1,2553846153846153
Tabakwaren;35;1,1945392491467577;35,2;1,0830769230769233
Bekleidung und Schuhe;122;4,163822525597269;136;4,184615384615385
Bekleidung, Accessoires;95,4;3,255972696245734;106;3,2615384615384615
Herrenbekleidung;24,3;0,8293515358361776;31;0,9538461538461539
Damenbekleidung;49,4;1,6860068259385665;53,8;1,6553846153846152
Kinder- u. Babybekleidung;12,4;0,4232081911262799;13,1;0,4030769230769231
Rest;9,299999999999997;0,3174061433447098;8,100000000000009;0,2492307692307695
Schuhe;26,4;0,9010238907849829;29,5;0,9076923076923076
Wohnen, Energie;747;25,494880546075084;791;24,33846153846154
Tatsächlich gezahlte Wohnungsmieten;339;11,569965870307167;184;5,661538461538462
Betriebskosten, Sonstige Zahlungen;179;6,109215017064846;127;3,907692307692308
Energie;110;3,754266211604096;133;4,092307692307692
Rest;119;4,061433447098977;347;10,676923076923076
Wohnungsausstattung;186;6,348122866894198;217;6,676923076923077
Wohnungseinrichtung;90,4;3,0853242320819114;98,3;3,0246153846153847
Geschirr, Haushaltsartikel;11,2;0,3822525597269624;14,5;0,4461538461538461
Waren und Dienstleistungen für den Haushalt;31,9;1,0887372013651875;35,3;1,086153846153846
Rest;52,5;1,7918088737201365;68,9;2,12
Gesundheit;125;4,266211604095563;138;4,246153846153846
Medikamente, medizinische Produkte;57,7;1,969283276450512;64,8;1,9938461538461536
Arztleistungen;59,2;2,020477815699659;63,4;1,9507692307692306
Spitals- und Pflegeleistungen, Kuraufenthalte;8,5;0,2901023890784983;9,5;0,2923076923076923
Verkehr;325;11,092150170648464;453;13,938461538461539
KFZ-Anschaffung;110;3,754266211604096;181;5,569230769230769
Fahrzeuginstandhaltung;150;5,1194539249146755;237;7,292307692307692
Öffentlicher Verkehr;65;2,218430034129693;34,9;1,073846153846154
Kommunikation;61,4;2,0955631399317403;60,1;1,8492307692307692
Freizeit, Sport, Hobby;455;15,529010238907851;436;13,415384615384616
Unterhaltungselektronik, Film-, Foto- und EDV-Geräte;44,5;1,5187713310580204;38,9;1,1969230769230768
Sportgeräte, Spielwaren, Pflanzen und Haustiere;67,4;2,300341296928328;84,2;2,5907692307692307
Sport-, Freizeit- und Kulturveranstaltungen;84,7;2,8907849829351537;78,6;2,418461538461538
Printmedien, Papier-, Schreibwaren;30;1,023890784982935;34,9;1,073846153846154
Urlaub;219;7,474402730375426;185;5,6923076923076925
Rest;9,399999999999991;0,32081911262798607;14,399999999999999;0,44307692307692303
Bildung;52,7;1,7986348122866898;37,5;1,153846153846154
Café, Restaurant;192;6,552901023890785;194;5,969230769230769
Sonstige Ausgaben;234;7,986348122866895;316;9,723076923076924
Körper- und Schönheitspflege;70,9;2,4197952218430037;77;2,3692307692307693
Versicherungen;97,2;3,3174061433447104;146;4,492307692307692
Rest;65,89999999999998;2,24914675767918;93;2,8615384615384616
Quelle: Statistik Austria – Konsumerhebung 2019/20.;;;;
;;;;
;;;;
