Leistungen der Kinder- und Jugendhilfe in Wien seit 2018;;;;;
Leistungsart;Berichtsjahr;;;;
;2018;2019,0;2020,0;2021;2022,0
Sozialer Dienst;;;;;
Informationen im sozialen Dienst;22408;19666,0;18595,0;22787;21732,0
Beratungen im sozialen Dienst;44646;41541,0;31824,0;32235;33937,0
Ausgegebene Säuglings- und Kleinkinderwäschepakete;11658;11332,0;7549,0;8627;8352,0
BezieherInnen des Wiener Familienzuschusses;53;43,0;37,0;24;8,0
Anträge auf Befreiung vom Essensbeitrag;11973;9574,0;7763,0;6094;7482,0
Gefährdungsabklärung;;;;;
Begonnene Abklärungsverfahren;10497;10714,0;9793,0;11015;11995,0
Unterstützung der Erziehung;;;;;
Begonnene Unterstützungen der Erziehung;3109;3050,0;2793,0;3312;3069,0
Rechtsvertretung;;;;;
Begonnene Fälle in der Rechtsvertretung;945;966,0;887,0;1123;1173,0
Begonnene Fälle im Asyl- und Fremdenrecht;26;51,0;84,0;204;277,0
Begonnene Fälle in der Unterhaltssicherung;8674;7799,0;7212,0;9534;9141,0
Begonnene Fälle in der Vaterschaftsfeststellung;328;241,0;146,0;209;131,0
Unterbringung in eigenen Einrichtungen (1);;;;;
Krisenzentren;134;140,0;138,0;140;144,0
Sozialpädagogische Einrichtungen;688;690,0;684,0;673;675,0
"Unterbringung in ""zugekauften"" Einrichtungen (1)";;;;;
Vertragseinrichtungen;668;651,0;645,0;685;699,0
Einzelverträge;489;503,0;528,0;565;587,0
Erstattungen;22;17,0;14,0;14;6,0
Unterbringung in Familien (1);;;;;
Bei Pflegeeltern;2083;2103,0;2118,0;2136;2100,0
darunter in Verwandtenpflege;478;485,0;475,0;463;435,0
Quelle: Stadt Wien Wiener Kinder- und Jugendhilfe.;;;;;
(1) Minderjährige im Tagesdurchschnitt.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
