Soziale Dienste in Wien – Menschen mit Behinderung seit 2017 (BezieherInnen);;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;
;2017;2018,0;2019,0;2020,0;2021,0;2022,0
Maßnahmen zur Tagesstruktur sowie Arbeitsangebote;;;;;;
Tagesstruktur inkl. Essen und Taschengeld;4870;4940,0;4940,0;4830,0;4850,0;4890,0
Berufsintegration (ohne Projekte), Lehrlingsausbildung und Lohnkostenzuschüsse;830;890,0;910,0;850,0;870,0;960,0
Integration – Bildung, Beratung, Assistenz;6380;6880,0;6940,0;6790,0;7220,0;7290,0
Fahrt zur Einrichtung (1);;;;;;
Regelfahrtendienst und Fahrtkostenersatz sowie Mobilitätskonzept;4870;4530,0;4610,0;4520,0;4550,0;4610,0
davon Fahrtbegleitung;24;2,0;2,0;4,0;4,0;4,0
Spezielle Mobilitätshilfen und Beförderungsdienste;;;;;;
Freizeitfahrtendienst;2811;2690,0;2470,0;1960,0;1680,0;1700,0
Ermäßigte Jahreskarten für Personen mit Sehbehinderung oder Gehörlosigkeit;3140;3130,0;2870,0;3040,0;2910,0;2840,0
Wohnen für Menschen mit Behinderung;;;;;;
Vollbetreutes Wohnen;1970;1960,0;1970,0;1920,0;1920,0;1900,0
Teilbetreutes Wohnen;2260;2360,0;2500,0;2690,0;2850,0;3180,0
Quelle: Fonds Soziales Wien.;;;;;;
(1) Diese Leistung dient ausschließlich den KundInnen der Tagesstruktur. Fahrten zu Kindergärten sowie Schulen sind nicht enthalten.;;;;;;
;;;;;;
