Bruttogehälter und Bruttolöhne in Wien nach Wirtschaftstätigkeiten und Geschlecht 2021;;;;;;
"Abschnitt
(ÖNACE 2008)";Angestellte – Bruttogehälter (1);;;ArbeiterInnen – Bruttolöhne (1);;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
;EUR;;;;;
WirtschaftskIassen insgesamt;3448;4118;3044;2281;2552;1838
Land- und Forstwirtschaft_ Fischerei;2502;;;1748;;
Bergbau und Gewinnung von Steinen und Erden;;;;;;
Herstellung von Waren;4823;5322;3894;2951;3199;2214
Energieversorgung;4935;;;5004;;
Wasserversorgung_ Abwasser- und Abfallentsorgung;4115;;;2926;;
Bau;3709;4416;2845;2958;2973;1588
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;2754;3514;2350;2183;2387;1749
Verkehr und Lagerei;3494;3674;3089;2457;2478;2208
Beherbergung und Gastronomie;2461;2645;2330;1829;1874;1599
Information und Kommunikation;4510;5026;3684;1643;2169;1220
Erbringung von Fiz- und Versicherungsdienstleistungen;4902;5695;4250;1900;2501;1543
Grundstücks- und Wohnungswesen;3267;3679;3038;1976;2412;1594
"Erbringung von freiberuflichen, wissenschaftlichen und
technischen Dienstleistungen";3496;4200;3069;1965;2318;1413
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;2843;3218;2567;2103;2373;1737
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;3670;4081;3501;2620;2917;2446
Erziehung und Unterricht;2721;2944;2624;1894;2075;1874
Gesundheits- und Sozialwesen;2683;2827;2615;1814;1743;1846
Kunst, Unterhaltung und Erholung;3019;3314;2656;1754;1975;1393
Erbringung von sonstigen Dienstleistungen;3149;3509;2941;1755;1909;1666
Private Haushalte;1600;;;1428;;
Exterritoriale Organisationen und Körperschaften;;;;;;
Wirtschaftsklasse nicht bekannt;;;;;;
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
(1) Medianeinkommen.;;;;;;
;;;;;;
