Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung nach Bundesländern 2021;;;;;;;;;;;
Bundesland;Höchste abgeschlossene Ausbildung;;;;;;;;;;
;Pflichtschule (1);Lehre;BMS (2);AHS;BHS (3);Kolleg;Akademie (4);Hochschule (5);;;
;%;;;;;;;;;;
Österreich insgesamt;17,3;32,6;14;6,5;9;0,8;2;17,7;;;
Burgenland;14,7;34,2;18,4;5,5;11,3;0,8;2,2;12,8;;;
Kärnten;13,6;38,2;15,2;4,9;10,7;0,7;2,2;14,5;;;
Niederösterreich;15,1;34;16,7;5,5;11;0,9;2,2;14,6;;;
Oberösterreich;18,2;37,5;15;4,2;8,7;0,5;2,2;13,5;;;
Salzburg;15,7;35,5;14,9;6;8,5;0,7;2,2;16,6;;;
Steiermark;14,9;37,4;14;5,7;9;1;1,9;16;;;
Tirol;17,1;35,2;15,7;5,3;7,8;0,8;2,3;15,7;;;
Vorarlberg;19,9;35,2;15,6;4,8;7,9;0,8;2,4;13,3;;;
Wien;21,2;20,7;8,9;11,3;7,4;1;1,6;27,9;;;
Quelle: Statistik Austria – Bildungsstandregister.;;;;;;;;;;;
"(1) Inklusive Personen ohne Pflichtschulabschluss.
(2) Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung.
(3) Inklusive lehrerbildende höhere Schulen.
(4) Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen_ inklusive Abschlüsse verschiedener Universitätslehrgänge.
(5) Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten. Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters.";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
