Schülerinnen und Schüler in AHS, Modellversuch Neue Mittelschule an AHS und Statutschulen nach Gemeindebezirken 2021/22;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;
;;allgemein bildende höhere Schulen;;;"sonstige allgemein
bildende (Statut–) Schulen (1)"
;;;;;
;;AHS–Unterstufe;"Modellversuch
NMS an AHS";AHS–Oberstufe;
Wien;69689;33369;4202;27263;4855
1. Innere Stadt;2689;1259;–;1418;12
2. Leopoldstadt;3503;1441;107;1506;449
3. Landstraße;5039;2215;163;2661;–
4. Wieden;2230;1195;–;1035;–
5. Margareten;1432;897;–;535;–
6. Mariahilf;1872;1149;–;723;–
7. Neubau;1725;563;330;832;–
8. Josefstadt;1665;990;–;675;–
9. Alsergrund;1320;707;–;512;101
10. Favoriten;3508;2313;–;1065;130
11. Simmering;2369;1581;–;788;–
12. Meidling;1340;868;–;423;49
13. Hietzing;2484;1352;–;942;190
14. Penzing;2655;1035;470;766;384
15. Rudolfsheim–Fünfhaus;3049;1690;–;1359;–
16. Ottakring;1342;895;–;447;–
17. Hernals;1732;962;–;699;71
18. Währing;3130;1484;–;1045;601
19. Döbling;4344;2141;–;1446;757
20. Brigittenau;1058;423;–;624;11
21. Floridsdorf;8000;3932;–;4026;42
22. Donaustadt;8266;2211;2551;1934;1570
23. Liesing;4937;2066;581;1802;488
Quelle: Statistik Austria – Schulstatistik.;;;;;
(1) Inklusive Schulen mit ausländischem Lehrplan.;;;;;
;;;;;
