Kinder in elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2022/23;;;;;
Gemeindebezirk;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;"Familiengruppen,
Kindergruppen"
Wien;99545;14479;34975;14323;35768
1. Innere Stadt;1136;142;336;278;380
2. Leopoldstadt;6107;862;1644;979;2622
3. Landstraße;4988;673;1683;557;2075
4. Wieden;1872;221;492;531;628
5. Margareten;1797;230;659;25;883
6. Mariahilf;1546;200;364;481;501
7. Neubau;1728;202;565;540;421
8. Josefstadt;1433;175;262;581;415
9. Alsergrund;1926;258;442;303;923
10. Favoriten;11261;1545;4011;1281;4424
11. Simmering;5361;889;2401;295;1776
12. Meidling;4654;506;1466;692;1990
13. Hietzing;2727;314;706;544;1163
14. Penzing;3980;673;1585;330;1392
15. Rudolfsheim-Fünfhaus;3887;738;1373;407;1369
16. Ottakring;4732;846;1641;758;1487
17. Hernals;2102;329;791;258;724
18. Währing;2769;440;1071;494;764
19. Döbling;3919;351;1009;1315;1244
20. Brigittenau;3773;613;1681;310;1169
21. Floridsdorf;9288;1432;3783;976;3097
22. Donaustadt;12054;1797;4505;1644;4108
23. Liesing;6505;1043;2505;744;2213
Quelle: Statistik Austria – Kindertagesheimstatistik.;;;;;
Anmerkung: Ohne Kinder bei Tageseltern. Betreute Kinder nach der geführten Form der Betreuungsgruppe.;;;;;
;;;;;
