Ordentliche Studierende an Universitäten und Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht seit 1997/98;;;;;;;;;;
Wintersemester;Insgesamt;Ordentliche Studierende an Universitäten;;;;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;;;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;;;
;;;Männer;Frauen;;Männer;Frauen;;;
1997/98;127338;111801;56644;55157;15537;8178;7359;;;
1998/99;127282;111167;55323;55844;16115;8308;7807;;;
1999/00;130036;113067;55235;57832;16969;8484;8485;;;Privatuniversitäten: Studienjahr
2000/01;131026;113543;54363;59180;17483;8565;8918;;;Universitäten, Pädagogische Hochschulen: Wintersemester
2001/02;110902;94653;44472;50181;16249;7826;8423;;;
2002/03;111338;93536;43307;50229;17802;8446;9356;;;sollen wir hier eine Anmerkung machen?
2003/04;113850;94081;43194;50887;19769;9210;10559;;;
2004/05;117663;97679;44365;53314;19984;9134;10850;;;
2005/06;124756;101589;46173;55416;23167;10485;12682;;;
2006/07;129039;103682;46964;56718;25357;11370;13987;;;
2007/08;135070;107002;48499;58503;28068;12490;15578;;;
2008/09;138055;107814;48963;58851;30241;13393;16848;;;
2009/10;159728;124222;56120;68102;35506;15542;19964;;;
2010/11;165491;127052;57482;69570;38439;16949;21490;;;
2011/12;170124;128508;58573;69935;41616;18375;23241;;;
2012/13;170842;126675;57852;68823;44167;19688;24479;;;
2013/14;170384;125737;57519;68218;44647;19985;24662;;;
2014/15;173345;127078;58327;68751;46267;20724;25543;;;
2015/16;175595;127759;58692;69067;47836;21394;26442;;;
2016/17;177175;127245;58844;68401;49930;21962;27968;;;
Quelle: Statistik Austria - Hochschulstatistik.;;;;;;;;;;
Anmkerung: Die Zahlen beinhalten Studierende an öffentlichen Universitäten, an pädagogischen Hochschulen (ab 2009/10) und an Privatuniversitäten.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
