Schülerinnen und Schüler in AHS, Modellversuch Neue Mittelschule an AHS und Statutschulen nach Gemeindebezirken 2020/21;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;
;;allgemein bildende höhere Schulen;;;"sonstige allgemein
bildende (Statut–) Schulen (1)"
;;;;;
;;AHS–Unterstufe;"Modellversuch
NMS an AHS";AHS–Oberstufe;
Wien;69444;33048;3933;27381;5082
1, Innere Stadt;2716;1288;–;1413;15
2, Leopoldstadt;3550;1420;97;1526;507
3, Landstraße;5009;2247;169;2593;–
4, Wieden;2164;1195;–;969;–
5, Margareten;1349;824;–;525;–
6, Mariahilf;1876;1165;–;711;–
7, Neubau;1690;559;333;798;–
8, Josefstadt;1678;1018;–;660;–
9, Alsergrund;1339;701;–;536;102
10, Favoriten;3454;2307;–;1027;120
11, Simmering;2361;1606;–;755;–
12, Meidling;1466;825;–;390;251
13, Hietzing;2470;1317;–;929;224
14, Penzing;2508;992;372;781;363
15, Rudolfsheim–Fünfhaus;3010;1691;–;1319;–
16, Ottakring;1351;892;–;459;–
17, Hernals;1723;946;–;725;52
18, Währing;3056;1476;–;1025;555
19, Döbling;4345;2155;–;1424;766
20, Brigittenau;1041;404;–;631;6
21, Floridsdorf;8298;3856;–;4402;40
22, Donaustadt;8012;2130;2372;1921;1589
23, Liesing;4978;2034;590;1862;492
Quelle: Statistik Austria – Schulstatistik,;;;;;
(1) Inklusive Schulen mit ausländischem Lehrplan,;;;;;
;;;;;
