Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung in Wien nach Staatsangehörigkeit und Geschlecht 2020;;;;;;;
Höchste abgeschlossene Ausbildung;Insgesamt;Staatsangehörigkeit;;;;;
;;Österreich;;;Fremde;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;Männer;Frauen;;Männer;Frauen
Wien;1101077;719040;354718;364322;382037;194080;187957
Pflichtschule (1);235023;100309;45927;54382;134714;69058;65656
Lehre;231916;166664;101532;65132;65252;39752;25500
Berufsbildende mittlere Schule (2);99857;73378;29195;44183;26479;12715;13764
Allgemein bildende höhere Schule;124009;76627;37474;39153;47382;21911;25471
Berufsbildende höhere Schule (3);82579;65561;35468;30093;17018;8959;8059
Kolleg;11372;9504;3116;6388;1868;743;1125
Akademie (4);18286;14318;2992;11326;3968;1684;2284
Hochschule (5);298035;212679;99014;113665;85356;39258;46098
Quelle: Statistik Austria – Bildungsstandregister (Abgestimmte Erwerbsstatistik),;;;;;;;
"(1) Inklusive Personen ohne Pflichtschulabschluss,
(2) Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung,
(3) Inklusive lehrerbildende höhere Schulen,
(4) Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen_ inklusive Abschlüsse verschiedener Universitätslehrgänge,
(5) Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten, Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters,";;;;;;;
;;;;;;;
