Studienabschlüsse an Hochschulen in Wien nach Staatsangehörigkeit und Geschlecht im Studienjahr 2020/21;;;;;;;
Hochschule;Insgesamt;Studienabschlüsse an Hochschulen;;;;;
;;ÖsterreicherInnen;;;AusländerInnen;;
;;insgesamt;Männer;Frauen;insgesamt;Männer;Frauen
Hochschulen insgesamt;29424,244;21508,246;9500,696;12007,55;7915,998;3287,533;4628,465
Öffentliche Universitäten;21403;15295;6758;8537;6108;2495;3613
Universität Wien;10724;7618;2483;5135;3106;1052;2054
Technische Universität Wien;3237;2296;1659;637;941;521;420
Universität für Bodenkultur Wien;1551;1166;616;550;385;195;190
Veterinärmedizinische Universität Wien;366;240;54;186;126;38;88
Wirtschaftsuniversität Wien;3615;2729;1408;1321;886;432;454
Medizinische Universität Wien;995;740;347;393;255;112;143
Akademie der bildenden Künste Wien;200;106;30;76;94;28;66
Universität für angewandte Kunst Wien;248;134;49;85;114;39;75
Universität für Musik und darstellende Kunst Wien;467;266;112;154;201;78;123
Privatuniversitäten;1557;767;231;536;790;278;512
Webster Vienna Private University;101;14;5;9;87;37;50
Sigmund Freud Privatuniversität (1);1124;652;177;475;472;142;330
MODUL University Vienna Privatuniversität (1);194;40;15;25;154;60;94
JML Jam Music Lab Private University for Jazz and Popular Music Vienna;23;18;11;7;5;4;1
Musik und Kunst Privatuniversität der Stadt Wien;115;43;23;20;72;35;37
Pädagogische Hochschulen;1036,244;989,246;198,696;790,55;46,998000000000005;14,533000000000001;32,465
Pädagogische Hochschule Wien;453,634;427,319;102,634;324,685;26,315;6,384;19,931
Private Pädagogische Hochschule der Erzdiözese Wien;488,61;471,927;57,062;414,865;16,683;5,149;11,534
Hochschule für Agrar- und Umweltpädagogik Wien;94;90;39;51;4;3;1
Fachhochschulen;5428;4457;2313;2144;971;500;471
FHWien der WKW;1267;1034;439;595;233;79;154
Fachhochschule Technikum Wien;1347;1024;817;207;323;238;85
Fachhochschule des BFI Wien;730;573;284;289;157;66;91
Bundesministerium für Landesverteidigung und Sport;86;86;79;7;0;0;0
Fachhochschule Campus Wien;1923;1728;685;1043;195;86;109
Lauder Business School;75;12;9;3;63;31;32
Quelle: Statistik Austria – Hochschulstatistik,;;;;;;;
(1) Inklusive ausländischer Standorte,;;;;;;;
Anmerkungen: Öffentliche Universitäten: Abschlüsse ordentlicher Studien und Lehrgangsabschlüsse, Ab dem Studienjahr 2016/17 erfolgt die zähltechnische Abbildung der Studienabschlüsse auf Basis des Verteilungsschlüssels gemäß § 9 Abs, 2 und Abs, 5 bis 7 UniStEV 2004, Dadurch sind Studienabschlüsse auf ganze Zahlen zu runden und es kann zu Abweichungen zwischen der Gesamtsumme und den addierten Detailergebnissen kommen, Privatuniversitäten: Abschlüsse ordentlicher und außerordentlicher Studien, Pädagogische Hochschulen: Studienabschlüsse Lehramt und Studienabschlüsse von Lehrgängen, Ab dem Studienjahr 2016/17 erfolgt die zähltechnische Abbildung der Studienabschlüsse auf Basis des Verteilungsschlüssels gemäß § 9 Abs 4 HSteV, Dadurch sind Studienabschlüsse auf ganze Zahlen zu runden und es kann zu Abweichungen zwischen der Gesamtsumme und den addierten Detailergebnissen kommen, Fachhochschulen: Studienort ist jener des einzelnen Studienfalls, Studienabschlüsse ordentlicher Studien und Studienabschlüsse von Lehrgängen,;;;;;;;
