Kinder in elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2021/22;;;;;
Gemeindebezirk;Insgesamt;Kinder – davon in…;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;"Familiengruppen,
Kindergruppen"
Wien;98294;14534;34189;14376;35195
1, Innere Stadt;1191;158;321;302;410
2, Leopoldstadt;5772;824;1580;863;2505
3, Landstraße;4833;654;1618;587;1974
4, Wieden;1816;228;461;533;594
5, Margareten;1788;232;654;5;897
6, Mariahilf;1443;183;336;468;456
7, Neubau;1718;201;547;546;424
8, Josefstadt;1426;163;267;588;408
9, Alsergrund;1887;274;425;285;903
10, Favoriten;11300;1600;3896;1363;4441
11, Simmering;5264;908;2366;300;1690
12, Meidling;4682;558;1438;642;2044
13, Hietzing;2537;296;699;422;1120
14, Penzing;3884;646;1610;321;1307
15, Rudolfsheim-Fünfhaus;3809;672;1389;417;1331
16, Ottakring;4543;799;1683;589;1472
17, Hernals;2374;357;785;472;760
18, Währing;2713;439;1026;496;752
19, Döbling;3943;342;1008;1349;1244
20, Brigittenau;3789;618;1664;344;1163
21, Floridsdorf;9054;1448;3511;1004;3091
22, Donaustadt;12037;1873;4553;1635;3976
23, Liesing;6491;1061;2352;845;2233
Quelle: Statistik Austria – Kindertagesheimstatistik,;;;;;
Anmerkung: Ohne Kinder bei Tageseltern, Betreute Kinder nach der geführten Form der Betreuungsgruppe,;;;;;
;;;;;
