Schülerinnen und Schüler in berufsbildenden und weiteren Schulen nach Gemeindebezirken 2020/21;;;;;;;
Gemeindebezirk;Insgesamt;Schülerinnen und Schüler in den Schultypen;;;;;
;;berufsbildende Schulen;;;;"Bundessport–
akademien";"Schulen im
Gesundheitswesen"
;;Berufsschulen;"berufsbildende
mittlere Schulen (BMS)";berufsbildende höhere Schulen (BHS);"sonstige
berufsbildende
(Statut–)Schulen";;
Wien;63005;20522;8212;29339;1853;386;2693
1, Innere Stadt;1239;–;207;740;244;–;48
2, Leopoldstadt;815;–;264;237;231;–;83
3, Landstraße;4550;–;1303;2926;76;–;245
4, Wieden;274;–;274;–;–;–;–
5, Margareten;4298;614;703;2934;47;–;–
6, Mariahilf;4698;4566;60;–;–;–;72
7, Neubau;1803;727;93;573;138;–;272
8, Josefstadt;1832;–;232;1600;–;–;–
9, Alsergrund;1511;–;274;590;284;–;363
10, Favoriten;4462;–;983;2960;331;–;188
11, Simmering;465;–;121;344;–;–;–
12, Meidling;6298;4249;411;1638;–;–;–
13, Hietzing;3419;1297;302;1627;193;–;–
14, Penzing;2735;1021;167;1211;–;–;336
15, Rudolfsheim–Fünfhaus;4504;3686;269;133;–;386;30
16, Ottakring;2817;–;525;1816;–;–;476
17, Hernals;1392;–;466;926;–;–;–
18, Währing;24;–;–;–;24;–;–
19, Döbling;1845;–;344;1501;–;–;–
20, Brigittenau;2923;–;111;2812;–;–;–
21, Floridsdorf;4900;1791;420;1995;247;–;447
22, Donaustadt;5737;2538;596;2470;–;–;133
23, Liesing;464;33;87;306;38;–;–
Quelle: Statistik Austria – Schulstatistik,;;;;;;;
;;;;;;;
;;;;;;;
