Fizierung der Ausgaben für F&E nach Durchführungssektoren und Fizierungsbereichen (1) in Wien 2021;;;;;;;;;;;
F&E durchgeführt in den Sektoren, Bereichen;Insgesamt;Fizierungsbereiche;;;;;;;;;
;;Unternehmenssektor;Öffentlicher Sektor;Privater gemeinnütziger Sektor;Hochschulsektor (2);Ausland einschl. internat. Organisationen (ohne EU) (3);EU;;;;
;;;;;;;;;;;
;in 1.000 EUR;;;;;;;;;;
Insgesamt;4306764;1674812;1839077;28674;64837;560906;138458;;;;
Hochschulsektor (2);1499577;39108;1300110;6237;62853;31602;59667;;;;
Universitäten (ohne Kliniken);1220962;27297;1073653;4795;39651;20710;54856;;;;
Universitätskliniken;191306;10631;164348;371;5912;7696;2348;;;;
Universitäten der Künste;34135;410;33057;76;45;77;470;;;;
Fachhochschulen;27273;716;23552;40;2777;23;165;;;;
Privatuniversitäten;21887;41;1648;955;14468;3096;1679;;;;
Pädagogische Hochschulen;4014;13;3852;–;–;–;149;;;;
Sektor Staat (4);574049;46450;453934;4561;1665;13717;53722;;;;
Landeskrankestalten;74165;;74165;;;;;;;;
Akademie der Wissenschaften;168783;11903;138616;223;–;3270;14771;;;;
Privater gemeinnütziger Sektor (5);34000;7726;4180;16268;36;4274;1516;;;;
Unternehmenssektor;2199138;1581528;80853;1608;283;511313;23553;;;;
Kooperativer Bereich (6);22126;8513;11723;5;80;1649;156;;;;
Firmeneigener Bereich;2177012;1573015;69130;1603;203;509664;23397;;;;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung, Sonderauswertung für Wien.;;;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen. Die Fizierung durch die Forschungsprämie wird entsprechend den internationalen Richtlinien der F&E-Statistik (Frascati Manual 2015) als Teil der eigenen Mittel der F&E betreibenden Einrichtung angesehen (z.B. bei Unternehmen: Fizierung durch den Unternehmenssektor). Lesebeispiel: Von insgesamt 27.273.000 Euro F&E-Ausgaben der Fachhochschulen wurden 2.777.000 Euro durch den Hochschulsektor fiziert.;;;;;;;;;;;
"1) Die Mittel der Forschungsförderungsfonds sind in ""Sonstiger öffenticher Sektor"" enthalten. 
2) Einschließlich Eigenmittel der Hochschulen, die aus Einnahmen für Gutachten, Prüfungen und Untersuchungen im Auftrag Dritter stammen_ außerdem Einnahmen aus Spenden und Sponsoring sowie Studiengebühren.
3) Einschließlich internationaler Organisationen und ausländischer Unternehmen. 
4) Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand fizierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ einschließlich Landeskrankestalten. Die Landeskrankestalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. 
5) Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist. 
6) Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren.";;;;;;;;;;;
;;;;;;;;;;;
