Wanderungsströme nach Geschlecht und Gemeindebezirken 2021;;;;;;;;;
Gemeindebezirk;Wanderungsströme;;;;;;;;
;Zuzüge;;;Wegzüge;;;Saldo;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien (1);88073;48593;39480;78492;42779;35713;9581;5814;3767
1, Innere Stadt;927;442;485;850;422;428;77;20;57
2, Leopoldstadt;6339;3425;2914;5064;2770;2294;1275;655;620
3, Landstraße;5476;2901;2575;4426;2368;2058;1050;533;517
4, Wieden;2042;1055;987;1716;892;824;326;163;163
5, Margareten;3255;1768;1487;2655;1410;1245;600;358;242
6, Mariahilf;2073;1017;1056;1612;831;781;461;186;275
7, Neubau;1940;964;976;1569;764;805;371;200;171
8, Josefstadt;2816;1940;876;2435;1762;673;381;178;203
9, Alsergrund;3669;1698;1971;2813;1395;1418;856;303;553
10, Favoriten;10615;6529;4086;8558;4905;3653;2057;1624;433
11, Simmering;3459;1942;1517;3717;2074;1643;-258;-132;-126
12, Meidling;4594;2489;2105;3898;2160;1738;696;329;367
13, Hietzing;1605;793;812;1746;858;888;-141;-65;-76
14, Penzing;2990;1717;1273;3343;1826;1517;-353;-109;-244
15, Rudolfsheim-Fünfhaus;4906;2893;2013;4117;2337;1780;789;556;233
16, Ottakring;5036;2948;2088;4241;2418;1823;795;530;265
17, Hernals;2658;1469;1189;2527;1367;1160;131;102;29
18, Währing;2344;1179;1165;2257;1082;1175;87;97;-10
19, Döbling;3126;1527;1599;2878;1468;1410;248;59;189
20, Brigittenau;4731;2726;2005;3986;2209;1777;745;517;228
21, Floridsdorf;5048;2704;2344;5191;2781;2410;-143;-77;-66
22, Donaustadt;5406;2812;2594;5617;2930;2687;-211;-118;-93
23, Liesing;3018;1655;1363;3276;1750;1526;-258;-95;-163
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
(1) Summe ohne Wanderungsfälle zwischen den Gemeindebezirken,;;;;;;;;;
;;;;;;;;;
