Ehelösungen in Wien seit 1970 – Kennziffern;;;;;;;;
Jahr;Ehescheidungen;;;Gesamtschei-dungsrate (1);Mediane Ehedauer der geschiedenen Ehen in Jahren;"Ehelösungen
durch den Tod";;
;insgesamt;darunter im Einvernehmen;"auf 1,000
EinwohnerInnen";;;Aufhebungen;"Nichtig-
erklärungen";durch Tod eines Partners
1970;4510;;2,77843833283843;;;6;2;11607
1971;4321;;2,6646127585679538;;;4;4;11384
1972;4156;;2,558492582464599;;;3;1;10664
1973;4151;;2,5500550433466356;;;2;–;10537
1974;4125;;2,5449703981382537;;;2;1;10559
1975;4333;;2,6995555981979704;;;1;2;10604
1976;4515;;2,8394387030274135;;;3;1;10359
1977;4512;;2,8598157852704276;;;2;–;10075
1978;4989;541;3,1896590856054883;;;6;–;9875
1979;4854;2452;3,1344966401347305;;;2;1;9543
1980;4929;3191;3,2040885443921296;;;2;–;9477
1981;4762;3603;3,108582350667934;;;2;2;9205
1982;5358;4310;3,5258536277203953;;;1;2;8910
1983;5548;4524;3,6857493437997633;;;5;–;8889
1984;5519;4679;3,6858203771972002;;;1;4;8529
1985;5692;4739;3,81269052567839;;6,59469696969697;1;1;8313
1986;5014;4080;3,369125532515354;;6,969957081545065;–;–;7786
1987;4938;4306;3,325510056334329;;6,808510638297873;–;3;7695
1988;5024;4451;3,3831513138667453;;6,673758865248226;1;4;7462
1989;5080;4570;3,4112160515174206;;6,278169014084507;–;2;6986
1990;5233;4775;3,4939961754996958;;6,058098591549296;1;6;7092
1991;5383;4900;3,558775326441443;49,46;5,502770083102493;2;25;6876
1992;5181;4691;3,386320988719453;47,81;5,805295950155762;1;70;7014
1993;5137;4639;3,3282128397618096;47,62;6,037828947368421;3;133;6783
1994;5223;4676;3,3782669354791763;48,21;6,536096256684492;3;215;6691
1995;5701;4943;3,699953920938715;52,95;6,947098976109216;18;164;6579
1996;5295;4660;3,43699268657288;49,74;7,4406474820143895;21;206;6358
1997;5129;4462;3,3271858131755003;48,77;7,674216027874564;24;176;6175
1998;5175;4494;3,357006445452375;49,86;7,5640624999999995;5;129;6020
1999;5469;4827;3,538921667466898;53,63;7,537800687285224;4;124;5891
2000;5671;4988;3,655794476146763;56,2;7,936141304347825;3;84;5618
2001;5872;5253;3,757993415831699;59,01;8,051987767584098;1;52;5563
2002;5469;4838;3,455179642175051;55,66;8,19186046511628;1;37;5511
2003;5237;4631;3,2713094232700852;53,97;7,8402489626556005;1;45;5494
2004;5794;5215;3,575991359358124;60,08;7,150943396226415;6;52;5404
2005;6111;5487;3,722467537293204;63,31;5,768096514745308;4;49;5302
2006;6446;5678;3,891057630028389;65,85;5,252840909090909;2;35;5354
2007;6296;5568;3,7803559740139554;64,15;5,6221662468513856;2;24;5172
2008;5752;4907;3,4341441513650377;59,45145159604731;6,659163987138265;2;15;5221
2009;5110;4366;3,033904926562877;53,80601156517461;7,137168141592919;2;5;5267
2010;4590;3940;2,707038299578905;49,37768537397908;7,4833333333333325;3;5;5288
2011;4533;3804;2,6530261829776007;49,76781709984836;7,770408163265305;15;28;5359
2012;4492;3814;2,6005427156653607;49,57599999999999;8,292307692307691;8;23;5422
2013;4129;3568;2,3545882108066416;46,37249;8,342;4;15;5353
2014;4444;3886;2,495156125172449;50,44100999999999;8,629166666666666;5;11;5322
2015;4169;3559;2,2979384077819582;47,77377999999999;8,878531073446329;23;1;5808
2016;4125;3567;2,225935412258078;47,150659999999995;8,918831168831169;8;7;5414
2017;4154;3566;2,212268905705766;47,34686;8,4393063583815;5;11;5640
2018;4130;3413;2,182710724568133;46,657650000000004;8,612121212121213;7;6;5905
2019;3947;3277;2,0738251815812063;44,13692999999999;8,87433155080214;2;10;5718
2020;3439;2898;1,7956768778927974;38,314840000000004;8,84857142857143;6;6;6072
2021;3529;2943;1,8343697687129499;39,3768867642878;9,291666666666666;9;4;6364
Quelle: Statistik Austria und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;
(1) Bezogen auf jene Eheschließungsjahrgänge, aus denen sie stammen,;;;;;;;;
;;;;;;;;
