Bevölkerung nach ausländischer Herkunft, Geschlecht und Gemeindebezirken 2022;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1, 1,;;;Ausländische Herkunft;;;;;
;;;;ohne;;;mit;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;1931593;944869;986724;1109193;538539;570654;822400;406330;416070
1, Innere Stadt;15700;7637;8063;9850;4963;4887;5850;2674;3176
2, Leopoldstadt;104688;51740;52948;56581;27782;28799;48107;23958;24149
3, Landstraße;93744;45153;48591;52679;25473;27206;41065;19680;21385
4, Wieden;33007;16051;16956;18687;9257;9430;14320;6794;7526
5, Margareten;53731;26669;27062;26816;13208;13608;26915;13461;13454
6, Mariahilf;30958;15044;15914;18098;8864;9234;12860;6180;6680
7, Neubau;31326;15208;16118;19054;9294;9760;12272;5914;6358
8, Josefstadt;24189;11945;12244;14802;7189;7613;9387;4756;4631
9, Alsergrund;41382;19767;21615;24142;11710;12432;17240;8057;9183
10, Favoriten;212255;106976;105279;102863;50516;52347;109392;56460;52932
11, Simmering;106078;52333;53745;59040;29039;30001;47038;23294;23744
12, Meidling;97909;48366;49543;50803;24777;26026;47106;23589;23517
13, Hietzing;53959;25265;28694;37682;17834;19848;16277;7431;8846
14, Penzing;92989;45256;47733;58897;28470;30427;34092;16786;17306
15, Rudolfsheim-Fünfhaus;75635;38436;37199;34734;17213;17521;40901;21223;19678
16, Ottakring;101638;50905;50733;52700;25611;27089;48938;25294;23644
17, Hernals;56014;27492;28522;31228;14981;16247;24786;12511;12275
18, Währing;50865;23761;27104;32275;14978;17297;18590;8783;9807
19, Döbling;73873;34636;39237;46533;21941;24592;27340;12695;14645
20, Brigittenau;84471;42087;42384;40178;19644;20534;44293;22443;21850
21, Floridsdorf;178185;86909;91276;110507;53987;56520;67678;32922;34756
22, Donaustadt;203823;98091;105732;133267;64698;68569;70556;33393;37163
23, Liesing;115174;55142;60032;77777;37110;40667;37397;18032;19365
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
