Wanderungsbewegungen von und nach Wien seit 1998;;;;;;;;;
Jahr (1);Zuwanderung;;;Abwanderung;;;Wanderungsbilanz;;
;insgesamt;Außen-;Binnen-;insgesamt;Außen-;Binnen-;insgesamt;Außen-;Binnen-
;;zuzüge;;;wegzüge;;;wanderungsbilanz;
1998;46386;24822;21564;42162;19155;23007;4224;5667;-1443
1999;52244;28179;24065;43133;19727;23406;9111;8452;659
2000;51058;27934;23124;43598;19517;24081;7460;8417;-957
2001;60145;35919;24226;47935;19539;28396;12210;16380;-4170
2002;69219;42468;26751;47731;22870;24861;21488;19598;1890
2003;69803;45213;24590;52709;26573;26136;17094;18640;-1546
2004;76136;51231;24905;56478;27694;28784;19658;23537;-3879
2005;72383;46367;26016;55202;25960;29242;17181;20407;-3226
2006;65235;38247;26988;58463;29347;29116;6772;8900;-2128
2007;70407;41629;28778;59598;29018;30580;10809;12611;-1802
2008;69850;41480;28370;62405;31676;30729;7445;9804;-2359
2009;73959;42830;31129;65081;35891;29190;8878;6939;1939
2010;77441;46186;31255;66464;37494;28970;10977;8692;2285
2011;80474;48845;31629;68653;38442;30211;11821;10403;1418
2012;90441;56661;33780;68127;37540;30587;22314;19121;3193
2013;94034;61714;32320;71323;39372;31951;22711;22342;369
2014;100138;66374;33764;73446;40705;32741;26692;25669;1023
2015;115238;78063;37175;76053;40121;35932;39185;37942;1243
2016;104906;66141;38765;82629;45002;37627;22277;21139;1138
2017;98926;61894;37032;82135;44698;37437;16791;17196;-405
2018;88535;56524;32011;82856;44932;37924;5679;11592;-5913
2019;91246;58370;32876;81359;43844;37515;9887;14526;-4639
2020;83810;49641;34169;74969;37369;37600;8841;12272;-3431
2021;88073;51183;36890;78492;39199;39293;9581;11984;-2403
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
(1) 2001: Geschätzte Ergebnisse,;;;;;;;;;
;;;;;;;;;
