Natürliche Bevölkerungsbewegung für Wien nach Herkunft und Gemeindebezirken 2021;;;;;;;;;
Gemeindebezirk;Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;ausländische Herkunft (1);;insgesamt;ausländische Herkunft;;insgesamt;ausländische Herkunft;
;;mit;ohne;;mit;ohne;;mit;ohne
Wien;19359;10999;8360;18086;4754;13332;1273;6245;-4972
1, Innere Stadt;105;45;60;137;43;94;-32;2;-34
2, Leopoldstadt;1082;617;465;1004;299;705;78;318;-240
3, Landstraße;947;546;401;765;213;552;182;333;-151
4, Wieden;298;156;142;282;77;205;16;79;-63
5, Margareten;510;309;201;472;155;317;38;154;-116
6, Mariahilf;265;124;141;290;74;216;-25;50;-75
7, Neubau;275;134;141;239;69;170;36;65;-29
8, Josefstadt;190;85;105;156;51;105;34;34;–
9, Alsergrund;393;193;200;339;88;251;54;105;-51
10, Favoriten;2448;1679;769;1952;569;1383;496;1110;-614
11, Simmering;1215;760;455;892;239;653;323;521;-198
12, Meidling;1006;631;375;1019;269;750;-13;362;-375
13, Hietzing;466;210;256;719;142;577;-253;68;-321
14, Penzing;857;443;414;939;210;729;-82;233;-315
15, Rudolfsheim-Fünfhaus;720;477;243;720;263;457;–;214;-214
16, Ottakring;978;600;378;931;300;631;47;300;-253
17, Hernals;587;309;278;478;145;333;109;164;-55
18, Währing;490;215;275;504;135;369;-14;80;-94
19, Döbling;643;306;337;1035;216;819;-392;90;-482
20, Brigittenau;852;569;283;831;263;568;21;306;-285
21, Floridsdorf;1878;1029;849;1543;333;1210;335;696;-361
22, Donaustadt;1968;982;986;1634;382;1252;334;600;-266
23, Liesing;1186;580;606;1205;219;986;-19;361;-380
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
(1) Ausländische Herkunft der Mutter, d,h, bei ausländischer Herkunft hat die Mutter eine fremde Staatsangehörigkeit oder ist im Ausland geboren,;;;;;;;;;
;;;;;;;;;
