Natürliche Bevölkerungsbewegung für Wien nach Geschlecht seit 1961;;;;;;;;;
Jahr (1);Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Buben;Mädchen;;Männer;Frauen;;Männer;Frauen
1961;18657;9727;8930;25172;11883;13289;-6515;-2156;-4359
1962;19550;9966;9584;26195;12362;13833;-6645;-2396;-4249
1963;20082;10348;9734;26154;12286;13868;-6072;-1938;-4134
1964;19952;10199;9753;25786;12194;13592;-5834;-1995;-3839
1965;19764;10074;9690;27445;12713;14732;-7681;-2639;-5042
1966;20211;10285;9926;26762;12315;14447;-6551;-2030;-4521
1967;20507;10601;9906;27796;12808;14988;-7289;-2207;-5082
1968;20323;10422;9901;27569;12689;14880;-7246;-2267;-4979
1969;19146;9778;9368;28361;12899;15462;-9215;-3121;-6094
1970;17892;9347;8545;28176;12857;15319;-10284;-3510;-6774
1971;17198;8809;8389;28516;12774;15742;-11318;-3965;-7353
1972;16236;8327;7909;26920;12068;14852;-10684;-3741;-6943
1973;15752;8097;7655;26364;11872;14492;-10612;-3775;-6837
1974;16052;8286;7766;26734;11909;14825;-10682;-3623;-7059
1975;14713;7586;7127;27125;11997;15128;-12412;-4411;-8001
1976;13404;7000;6404;26771;11793;14978;-13367;-4793;-8574
1977;13087;6698;6389;25857;11433;14424;-12770;-4735;-8035
1978;13339;6894;6445;26212;11539;14673;-12873;-4645;-8228
1979;13540;6949;6591;25337;11121;14216;-11797;-4172;-7625
1980;14399;7487;6912;25352;10961;14391;-10953;-3474;-7479
1981;15117;7898;7219;25247;10796;14451;-10130;-2898;-7232
1982;15007;7622;7385;24633;10607;14026;-9626;-2985;-6641
1983;14505;7400;7105;24677;10642;14035;-10172;-3242;-6930
1984;14440;7465;6975;23457;10213;13244;-9017;-2748;-6269
1985;14353;7365;6988;23727;10073;13654;-9374;-2708;-6666
1986;14539;7543;6996;22828;9648;13180;-8289;-2105;-6184
1987;14827;7672;7155;22193;9413;12780;-7366;-1741;-5625
1988;15567;8064;7503;21644;9223;12421;-6077;-1159;-4918
1989;15941;8173;7768;20875;8867;12008;-4934;-694;-4240
1990;16376;8460;7916;20830;8887;11943;-4454;-427;-4027
1991;17216;8855;8361;20853;8917;11936;-3637;-62;-3575
1992;17427;8897;8530;20898;9004;11894;-3471;-107;-3364
1993;17339;8825;8514;20159;8666;11493;-2820;159;-2979
1994;17064;8834;8230;19632;8329;11303;-2568;505;-3073
1995;16261;8287;7974;19783;8435;11348;-3522;-148;-3374
1996;16242;8356;7886;19346;8169;11177;-3104;187;-3291
1997;15505;7926;7579;18452;7843;10609;-2947;83;-3030
1998;15235;7847;7388;18082;7923;10159;-2847;-76;-2771
1999;15157;7677;7480;17983;7598;10385;-2826;79;-2905
2000;15547;7925;7622;17588;7436;10152;-2041;489;-2530
2001;15167;7769;7398;16943;7255;9688;-1776;514;-2290
2002;16428;8311;8117;16916;7213;9703;-488;1098;-1586
2003;16486;8609;7877;16980;7344;9636;-494;1265;-1759
2004;16856;8740;8116;15983;7110;8873;873;1630;-757
2005;16740;8548;8192;16027;7100;8927;713;1448;-735
2006;17112;8716;8396;15796;7024;8772;1316;1692;-376
2007;16885;8614;8271;15825;6964;8861;1060;1650;-590
2008;17375;9018;8357;15702;6972;8730;1673;2046;-373
2009;17154;8914;8240;16332;7430;8902;822;1484;-662
2010;17989;9280;8709;16287;7443;8844;1702;1837;-135
2011;18170;9382;8788;15918;7308;8610;2252;2074;178
2012;18265;9566;8699;16404;7456;8948;1861;2110;-249
2013;18691;9865;8826;16332;7521;8811;2359;2344;15
2014;19260;9993;9267;16014;7436;8578;3246;2557;689
2015;19931;10275;9656;16526;7781;8745;3405;2494;911
2016;20804;10638;10166;16031;7426;8605;4773;3212;1581
2017;20576;10593;9983;16424;7588;8836;4152;3005;1147
2018;20038;10223;9815;16887;7968;8919;3151;2255;896
2019;19935;10287;9648;16150;7760;8390;3785;2527;1258
2020;19156;9847;9309;17901;8666;9235;1255;1181;74
2021;19359;10030;9329;18086;8833;9253;1273;1197;76
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
(1) Vor 2009 ohne Sterbefälle von Wienerinnen und Wienern im Ausland,;;;;;;;;;
;;;;;;;;;
