Rebflächen in Wien nach Katastralgemeinden 2017;;;
Gemeindebezirk
Katastralgemeinde;Gewidmete Parzellen in Wien;Fläche;
;;m²;%
Insgesamt;3270;7059636;100
10. Favoriten;96;253591;3,5921257129971
Oberlaa-Stadt;96;253591;3,5921257129971
13. Hietzing;1;1000;1,41650362709919E-02
Schönbrunn;1;1000;1,41650362709919E-02
16. Ottakring;8;56020;0,793525331900965
Ottakring;8;56020;0,793525331900965
17. Hernals;11;88262;1,25023443135028
Dornbach;11;88262;1,25023443135028
18. Währing;8;12998;0,184117141450352
Pötzleinsdorf;8;12998;0,184117141450352
19. Döbling;1431;3317822;46,9970689706948
Grinzing;304;769565;10,9009161378859
Heiligenstadt;180;398517;5,64500775960687
Josefsdorf;16;27488;0,389368517017025
Kahlenbergerdorf;67;237344;3,3619863687023
Neustift am Walde;233;358593;5,07948285152379
Nussdorf;405;1082548;15,3343316850897
Obersievering;156;277592;3,93210074853718
Salmannsdorf;16;1833;2,59645114847281E-02
Unterdöbling;2;3058;4,33166809166932E-02
Untersievering;52;161284;2,28459370993065
21. Floridsdorf;1472;2855053;40,4419293006042
Stammersdorf;1464;2840320;40,2332358212236
Strebersdorf;8;14733;0,208693479380523
22. Donaustadt;2;8710;0,123377465920339
Breitenlee;1;7200;0,101988261151141
Süßenbrunn;1;1510;2,13892047691977E-02
23. Liesing;241;466180;6,60345660881099
Kalksburg;32;59599;0,844221996714845
Liesing;71;134496;1,90514071830332
Mauer;136;269551;3,81819969188213
Rodaun;2;2534;3,58942019106934E-02
Quelle: MA 58.;;;
Anmerkung: Der Unterschied des Flächenausmaßes der Rebflächen nach Katastralgemeinden von den Rebflächen nach Weinsorten liegt darin, dass bei den Flächenangaben nach Katastralgemeinden auch Flächen von gepflanzten aber noch nicht im Ertrag stehenden („Rodung abgelaufen“), sowie von gerodeten und noch in Besitz des Eigentümers stehenden Rebflächen und von verwilderten Rebflächen mit einbezogen wurden.;;;
Rundungsdifferenzen nicht ausgeglichen.;;;
