B0003;;;;;;;
Nominelle Bruttowertschöpfung in Wien nach Sektoren seit 2000;;;;;;;
Jahr *;Insgesamt;Nominelle Bruttowertschöpfung;;;;;
;;primärer Sektor;;sekundärer Sektor;;tertiärer Sektor;
;Mio. EUR;Mio. EUR;%;Mio. EUR;%;Mio. EUR;%
2000;51382;31;0,060332412128761;10135;19,7248063524191;41216;80,2148612354521
2001;53401;36;6,74144678938597E-02;10188;19,0782944139623;43177;80,8542911181438
2002;55270;35;6,33254930341958E-02;10095;18,264881490863;45139;81,6699837163018
2003;55637;37;6,65025073242626E-02;10021;18,0113952944983;45578;81,9203048331147
2004;57216;40;0,069910514541387;10051;17,566764541387;47125;82,3633249440716
2005;59569;34;5,70766673941144E-02;10025;16,8292232537058;49510;83,1137000789001
2006;63070;38;6,02505153004598E-02;10889;17,2649437133344;52144;82,6763913112415
2007;65521;42;6,41015857511332E-02;10808;16,4954747332916;54671;83,4404236809573
2008;68050;41;6,02498163115356E-02;11446;16,8199853049229;56563;83,1197648787656
2009;67436;29;4,30037368764458E-02;11236;16,661723708405;56171;83,2952725547186
2010;69015;33;4,78156922408172E-02;10967;15,8907483880316;58014;84,0599869593567
2011;71264;33;4,63066906151774E-02;10499;14,7325437808711;60732;85,2211495285137
2012;72322;30;4,14811537291557E-02;10608;14,6677359586295;61684;85,2907828876414
2013;73831;41;5,55322290094947E-02;10876;14,7309395782259;62914;85,2135281927646
2014;75009;39;5,19937607487102E-02;10989;14,6502419709635;63981;85,2977642682878
2015;78086;19;0;11239;14,4;66828;85,6
2016;80264;21;0;11667;14,5;68576;85,4
Quelle: Statistik Austria, Regionale Gesamtrechnungen, ESVG 2010 (VGR-Revisionsstand: Juli 2015).;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
* 2014: vorläufige Zahlen.;;;;;;;
