Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien nach Geschlecht 2015;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;3832;56964;39749;17215
Nahrungs- und Futtermittel;488;8506;4805;3701
Getränkeherstellung;23;765;447;318
Tabakverarbeitung;1;1;1;0
Textilien;154;423;187;236
Bekleidung;274;635;164;471
Leder/-waren und Schuhen;46;157;91;66
Holzwaren; Korbwaren;155;919;767;152
Papier/Pappe und Waren daraus;29;1552;1093;459
Druckerzeugnisse;276;2139;1498;641
Kokerei und Mineralölverarbeitung;4;458;318;140
Chemische Erzeugnisse;78;2025;1235;790
Pharmazeutische Erzeugnisse;75;4594;2458;2136
Gummi- und Kunststoffwaren;78;1113;796;317
Glas/-waren, Keramik u.Ä.;168;927;620;307
Metallerzeugung und -bearbeitung;16;211;155;56
Metallerzeugnisse;413;3834;2949;885
Datenverarbeitungsgeräte;127;2366;1773;593
elektrische Ausrüstungen;121;8359;6284;2075
Maschinenbau;155;4094;3329;765
Kraftwagen und -teile;19;2595;2397;198
Sonst. Fahrzeugbau;12;1103;895;208
Möbel;236;863;640;223
Sonstige Waren;591;3276;1773;1503
Reparatur/Installation v. Maschinen;293;6049;5074;975
Quelle: Statistik Austria – Arbeitsstättenzählung 2015.;;;;
;;;;
;;;;
Eine neue Zeile!;;;;
