Gästeübernachtungen in Wien nach Betriebskategorien und Monaten 2018;;;;;;
Monat;Insgesamt;Gästeübernachtungen;;;;
;;Hotels und ähnliche Beherbergungsbetriebe;;;;Jugendherbergen
und Camping
;;5-Stern;4-Stern;3-Stern;2-/1-Stern *;
2018;16483497;1587144;7038449;4578958;2372846;906100
Jänner;878991;100165;390413;238756;102806;46851
Februar;854338;92005;373998;237624;103999;46712
März;1172284;109490;532796;325162;144020;60816
April;1389806;126384;603067;387274;196384;76697
Mai;1468601;141044;626631;409620;208241;83065
Juni;1459395;140900;625661;402741;203678;86415
Juli;1580124;144377;669272;421032;236189;109254
August;1721066;159254;726064;465203;268655;101890
September;1466385;133491;603263;427338;222042;80251
Oktober;1510658;145571;627122;424309;236793;76863
November;1352004;136802;575489;380985;197076;61652
Dezember;1629845;157661;684673;458914;252963;75634
Quelle: MA 23.;;;;;;
* Einschließlich Übernachtungen in privaten und gewerblichen Ferienwohnungen/Appartments.;;;;;;
