Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien 2015;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;Beschäftigte im
Jahresdurchschnitt;Bruttlöhne
und -gehälter;Bruttoinvestitionen
in Sachanlagen
;;;1.000 EUR;
Insgesamt;3963;58191;2866047;443575
Nahrungs- und Futtermittel;621;7395;226339;50172
Getränkeherstellung;33;797;43744;16730
Textilien;77;403;11289;909
Bekleidung;273;677;11016;376
Leder/-waren und Schuhe;40;154;2917;219
Holzwaren; Korbwaren;157;1016;29055;1583
Papier/Pappe und Waren daraus;31;1664;84562;19571
Druckerzeugnisse;290;2025;100716;7213
Kokerei und Mineralölverarbeitung;24;.;.;.
Chemische Erzeugnisse;93;2213;172868;19662
Pharmazeutische Erzeugnisse;62;5164;300110;53069
Gummi- und Kunststoffwaren;81;1130;45233;26217
Glas(-waren), Keramik u. Ä.;189;866;36771;2399
Metallerzeugung und -bearbeitung;15;.;.;.
Metallerzeugnisse;435;3875;146583;14274
Datenverarbeitungsgeräte;129;2423;133706;24769
Elektrische Ausrüstung;137;9744;586650;53248
Maschinenbau;157;3098;166230;20854
Kraftwagen und -teile;18;3176;158064;41668
Sonstiger Fahrzeugbau;20;1111;72829;5499
Möbel;247;1033;27099;4143
Sonstige Waren;544;3209;104452;15821
Reparatur/Installation von Maschinen;290;6383;356605;15123
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2015.;;;;
;;;;
;;;;
;;;;
;;;;
eine Zeile weniger!;;;;
