Produzierender Bereich * Wiens ohne Bauwesen nach Monaten 2017;;;;;;
Monat **;Betriebe;Unselbstständig Beschäftigte;Bezahlte
Arbeitsstunden;Bruttoverdienste;Auftragseingänge;Wert der technischen
Gesamtproduktion
;;;1.000 h;Mio. EUR;;
Jänner;3002;63291;10352;234,3;780,4;3356,2
Februar;3002;63270;9802;232,8;540,3;3763,6
März;3002;63429;10603;265,6;681,7;3752,8
April;3002;63396;10563;328,4;586,3;2751,2
Mai;3001;63395;10271;344;926,1;2544,4
Juni;3000;63324;9802;261,1;708,4;2785,5
Juli;3000;63605;10208;242,2;590,5;2598,5
August;2997;63467;10629;242,6;588;2656,2
September;2994;63422;10126;243,6;1067,7;2958,3
Oktober;2992;63545;10369;273,2;643,2;2988,8
November;2990;63769;10396;381,4;736,6;3149,5
Dezember;2989;63324;9914;268,7;795,7;3373,8
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit).;;;;;;
* Bergbau u. Gewinnung von Steinen u. Erden; Herstellung von Waren; Energieversorgung; Wasserversorgung, Abwasser- u. Abfallentsorgung u. Beseitigung von Umweltverschmutzungen.
** Monatsende, vorläufige Ergebnisse.;;;;;;
