Unselbstständig Beschäftigte in Arbeitsstätten der Sachgütererzeugung in Wien nach Geschlecht und Staatsangehörigkeit 2015;;;;;;
Abteilung (ÖNACE 2008);Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
Insgesamt;54918;38272;16646;9747;6485;3262
Nahrungs- und Futtermittel;8312;4673;3639;2948;1778;1170
Getränkeherstellung;759;443;316;109;76;33
Textilien;295;131;164;75;37;38
Bekleidung;432;84;348;113;29;84
Leder/-waren und Schuhe;122;66;56;48;29;19
Holzwaren; Korbwaren;820;675;145;245;218;27
Papier/Pappe und Waren daraus;1544;1087;457;388;292;96
Druckerzeugnisse;2002;1408;594;205;132;73
Kokerei und Mineralölverarbeitung;457;318;139;67;36;31
Chemische Erzeugnisse;2008;1223;785;438;258;180
Pharmazeutische Erzeugnisse;4579;2449;2130;634;328;306
Gummi- und Kunststoffwaren;1085;776;309;309;212;97
Glas/-waren, Keramik u. Ä.;851;565;286;206;170;36
Metallerzeugung und -bearbeitung;206;152;54;40;37;3
Metallerzeugnisse;3649;2782;867;795;663;132
Datenverarbeitungsgeräte;2314;1728;586;280;190;90
Elektrische Ausrüstungen;8328;6254;2074;886;578;308
Maschinenbau;4034;3273;761;572;463;109
Kraftwagen und -teile;2589;2391;198;202;176;26
Sonstiger Fahrzeugbau;1101;893;208;84;65;19
Möbel;702;495;207;180;146;34
Sonstige Waren;2852;1484;1368;494;234;260
Reparatur/Installation v. Maschinen;5877;4922;955;429;338;91
Quelle: Statistik Austria – Arbeitsstättenzählung 2015.;;;;;;
