Betriebe, Beschäftigte und weitere Kennzahlen in Wien nach Wirtschaftstätigkeiten 2015;;;;;;
Abschnitt (ÖNACE 2008);Betriebe;Beschäftigte *;Betriebserlöse;Waren- und
Dienstleistungskäufe;Lagerbestand
Jahresende;Bruttoinvestitionen
in Sachanlagen
;;;Mio. EUR;;;
Insgesamt;76872;712913;234982,705;159543,69;15605,609;11042,948
Bergbau;10;174;3,053;4,599;0,045;0,05
Herstellung von Waren;2789;58353;19598,232;15226,1;3596,825;388,51
Energieversorgung;115;7103;20418,203;19071,709;260,141;463,872
Wasserversorgung und Abfallentsorgung;78;3972;1317,223;765,352;28,098;122,71
Bau;5771;51160;8651,979;5818,144;2750,886;116,449
Handel;15932;142563;79978,264;69060,411;5998,763;659,671
Verkehr;3536;70153;13949,057;9581,246;87,518;960,654
Beherbergung und Gastronomie;6694;67984;3970,545;2245,128;78,094;182,266
Information und Kommunikation;7335;62619;15238,137;9424,614;470,866;962,156
Finanz- und Versicherungsleistungen;1329;56135;39341,045;8971,693;4,194;384,569
Grundstücks- und Wohnungswesen;6366;18372;7887,405;4363,923;1282,829;2884,885
Freiberufliche Dienstleistungen;22011;88170;13586,905;8548,142;795,148;266,365
Sonstige wirtschaftliche Dienstleistungen;4457;84363;10904,887;6391,441;247,742;3649,732
Sonstige Dienstleistungen;449;1792;137,77;71,188;4,46;1,059
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2015.;;;;;;
* Beschäftigte im Jahresdurchschnitt.;;;;;;
Da sich die Beschäftigten den Betrieben nicht völlig eindeutig örtlich zuordnen lassen, entspricht die Zahl der hier erhobenen Beschäftigten in Wiener Betrieben nicht der Zahl der Beschäftigten in Wiener Arbeitsstätten (siehe Tabelle 13.2.5).;;;;;;
