Gemüseproduktion in den Bundesländern nach Produktgruppen 2017;;;;;;;;
Bundesland;Insgesamt;;Gemüseproduktion;;;;;
;;;Fruchtgemüse *;;Kohl-, Blatt- und
Stängelgemüse **;;Hülsenfrüchte ***
Wurzel- und Zwiebelgemüse ****;
;t;%;t;%;t;%;t;%
Österreich;597848,45;100;158454,85;100;134641,6;100;304752;100
Burgenland;61254;10,2457403711593;35302;22,2789015293631;11134;8,26936102957779;14818;4,86231427521394
Kärnten;5734,55;0,959197937202982;437,35;0,276009222816468;2669,2;1,98244821808416;2628;0,862340526067097
Niederösterreich;319330;53,4132019577871;37959;23,9557198785648;36296;26,9574930779195;245075;80,4178479550585
Oberösterreich;66591;11,1384415230984;19568;12,3492591107183;32289;23,9814440707775;14734;4,83475087940358
Salzburg;4248;0,710547965793003;353;0,222776393401654;2013;1,49508027236753;1882;0,617551320417914
Steiermark;37227;6,22682888949532;8990;5,67354044385514;20352;15,1156848997635;7885;2,5873497138657
Tirol;28534;4,77278146326214;3320;2,09523406825351;11958;8,88135613361695;13256;4,34976636740694
Vorarlberg;2333,9;0,390383215010426;307,5;0,194061589152998;1403,4;1,04232272937933;623;0,204428518926865
Wien;72596;12,1428766771914;52218;32,9544977638741;16527;12,2748095685137;3851;1,26365044363942
Quelle: Statistik Austria – Gemüseernte 2017 und Berechnungen MA 23.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
* Gurken, Paprika, Pfefferoni, Paradeiser (Tomaten), Zucchini, Speisekürbisse, Melanzani, Melonen, Zuckermais. 
** Brokkoli, Chinakohl, Karfiol, Kohl, Kohlrabi, Kraut, Kohlsprossen, Salate, Spinat, Petersilie, Schnittlauch, Rhabarber, Spargel. 
*** Grünerbsen, Fisolen, Käferbohnen. 
**** Karotten, Radieschen, Bierrettich, Rote Rüben, Knoblauch, Fenchel, Kren (Meerrettich), Petersilienwurzel, Zwiebel, Porree, Zeller (Knollensellerie).;;;;;;;;
