Personal der Bundesverwaltung in Wien nach Dienststellen und Geschlecht 2021;;;;;;;;;
Dienststelle (1);Insgesamt;Geschlecht;;Beschäftigte zum 31,12, – davon…;;;;;
;;;;Beamtinnen und Beamte;;;Vertragsbedienstete;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
Personal der Bundesverwaltung;49197;24216;24981;20899;13273;7626;28298;10943;17355
Präsidentschaftskanzlei;83;36;47;31;17;14;52;19;33
Bundesgesetzgebung;766;392;374;472;278;194;294;114;180
Verfassungsgerichtshof;122;45;77;40;12;28;82;33;49
Verwaltungsgerichtshof;201;81;120;82;48;34;119;33;86
Volksanwaltschaft;105;38;67;44;21;23;61;17;44
Bundesrechnungshof;307;151;156;227;115;112;80;36;44
Bundeskanzleramt;1002;388;614;285;105;180;717;283;434
Bundesministerium für …;;;;;;;;;
Inneres;12976;8835;4141;9552;7314;2238;3424;1521;1903
darunter Wachebeamte;9072;7137;1935;8198;6533;1665;874;604;270
"europäische und internationale 
Angelegenheiten";1201;601;600;404;260;144;797;341;456
Justiz;4499;1835;2664;2423;1290;1133;2076;545;1531
Fizen;4081;1900;2181;1839;964;875;2242;936;1306
Kunst, Kultur, öffentlichen Dienst und Sport;668;302;366;182;78;104;486;224;262
Arbeit, Familie und Jugend;491;211;280;288;139;149;203;72;131
"Soziales, Gesundheit, Pflege 
und Konsumentenschutz";1079;389;690;383;141;242;696;248;448
Bildung, Wissenschaft und Forschung;17606;7000;10606;3166;1626;1540;14440;5374;9066
Digitalisierung und Wirtschaftsstandort;1381;757;624;540;332;208;841;425;416
Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie;1216;546;670;378;187;191;838;359;479
Landwirtschaft, Regionen und Tourismus;1413;709;704;563;346;217;850;363;487
Quelle: Bundeskanzleramt,;;;;;;;;;
(1) Bezeichnung der Bundesministerien mit Stand 31,12,2021, Ohne Personal des Bundesministeriums für Landesverteidigung, da die Daten nur als Bundesgesamtsumme zur Verfügung stehen,;;;;;;;;;
;;;;;;;;;
