Ausgewählte Erträge der städtischen Abgaben und Zuschläge in Wien seit 2014;;;;;;;;;;;;;
Abgabenart und Zuschläge;Berichtsjahr;;;;;;;;;;;;
;2014;2015;2016;2017;2018,0;2019,0;2020,0;2021,0;2022,0;;;;
;Mio, EUR;;;;;;;;;;;;
Insgesamt;1406,63320036;1377,4;1394,7529192700003;1457,98470218;1758,54924709;1840,99807106;1753306953,9099994;1813419115,7599995;;;;;
Rückersätze von Ausgaben;0,09302177;0,05838639;0,08448374;0,1966385;0,17093727;0,05033077;85510,28;192511,89;;;;;
Grundsteuer von den land- und forstwirtschaftlichen Betrieben;0,27660914;0,16887907;0,20670352;0,19713958999999998;0,21427304;0,20635859;192785,72;196219,35;;;;;
Grundsteuer von den Grundstücken;111,66307547;113,06611873;115,90509681;119,95064993999999;115,82387021;120,43645104000001;119245450,66;122480596,0;;;;;
Kommunalsteuer;736,61653623;758,11844728;780,1747161799999;803,99932825;843,4461202;884,85369519;852431738,03;900957969,8;;;;;
Ortstaxe / Fremdenverkehrsabgabe;18,92669335;21,89904935;21,985366600000003;23,463277100000003;25,99567772;29,71370623;10557495,94;8605250,78;;;;;
Vergnügungssteuer;52,21204422;4,36302315;7,47605308;1,19858122;1,04675612;2,0657828400000002;46122,95;389423,29;;;;;
Abgabe für das Halten von Tieren;4,22456998;4,26546128;4,31956773;4,32135259;4,29538562;4,37931138;4140756,83;4411334,0;;;;;
Abgabe für den Gebrauch von öffentlichem Grund;169,88839658;155,91619047;143,00160251;170,94339842;161,51981663;171,96312836;167254777,6;154618548,49;;;;;
Wohnbauförderungsbeitrag (1);–;–;–;–;278,50637123;292,13906216000004;291769481,03;312535054,47;;;;;
Feuerschutzsteuer;10,20037302;10,44234396;10,49955667;10,579559869999999;10,80900211;11,379688029999999;11498245,45;11942253,28;;;;;
Kulturförderungsbeitrag;35,74791019;35,48177715;35,09083572;44,714762609999994;36,35200964;36,627652270000006;35600514,05;35686149,12;;;;;
Dienstgeberabgabe;66,22642225;65,45196978999999;66,95167846;66,00518345;67,36008895;69,89020467;69059132,05;65442232,5;;;;;
Parkometerabgabe;102,0517348;110,56089737;110,84114219;115,7404317;120,18988267;122,95871686;111664878,53;116878423,79;;;;;
Wettterminalabgabe (2);–;–;1,7899;4,836650000000001;5,97695;5,43305;2515173,0;1487525,5;;;;;
Sportförderungsbeitrag;1,67040301;2,2003508;2,19196854;1,68206877;2,08924932;1,8358234199999999;607214,12;830825,36;;;;;
Nebesprüche;2,03121202;2,2864062200000004;2,17449279;2,0545222599999997;2,1250735;1,48945926;895208,71;1366824,12;;;;;
Interessentenbeiträge von Grundstückseigentümern und Anrainern;0,25649652;0,51127722;0,28997491999999997;0,3521752;0,47177733;0,33106849;375690,97;245712,43;;;;;
Ausgleichsabgaben (nach dem);5,52022219;6,32772173;7,75262142;11,52574501;11,12924368;11,87041118;8226347,87;11203352,2;;;;;
Wiener Baumschutzgesetz;1,5019822;1,851428;1,554348;2,76642926;2,61818;4,67147;3417907,33;4732202,44;;;;;
Wiener Garagengesetz;4,01823999;4,47629373;6,19827342;8,75931575;8,51106368003;7,198941179999999;4808440,54;6471149,76;;;Die Zeilen wurden gewechselt (Baumschutz jetzt oben);;
Verwaltungsabgaben;22,10156758;22,88672213;25,49594943;26,57414696;25,45240994;27,59366382;22314268,57;25510863,6;;;;;
Kommissionsgebühren;0,73794263;0,71212703;0,703137;0,7238477;0,67793959;0,98320973;699568,83;521045,03;;;;;
Laufende Transferzahlungen privater Haushalte;66,18796941;62,66967099;57,80864271;48,92524304;44,89641231;44,68320759;35900244,85;37917000,76;;;;;
Quelle: Rechnungsabschluss der Stadt Wien,;;;;;;;;;;;;;
"(1) Wohnbauförderungsbeitrag ist mit Jänner 2018 von einer Bundesabgabe in eine Landesabgabe umgewandelt worden,
(2) Abgabe wurde 2016 eingeführt,";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
