Gesamtenergiebilanz in Wien seit 2014;;;;;;;
Bilanzschema;Berichtsjahr;;;;;;
;2014;2015;2016;2017;2018;2019;2020,0
;Terajoule;;;;;;
Bruttoinlandsverbrauch;;;;;;;
Insgesamt;141791,82887082585;149770,38044348964;152810,3499862308;155953,4676208527;152541,23971394138;153622,93808899468;149177,40000000002
Inländische Erzeugung von Rohenergie;18556,738474566653;20664,131985533204;21314,89546725835;20661,48482919066;19940,745709342344;20277,605151558484;19944,8
+ Importe;124945,18112922921;131221,23150553321;133893,54761994144;137518,3772245609;134724,62528028697;135819,00594889955;126962,3
± Lager;–;–;–;–;–;–;-233,8
– Exporte;1710,0907329700278;2114,9807670143377;2398,093100968964;2226,394432898875;2124,1397951493086;2473,6730114633365;2504,1
Energetischer Endverbrauch;;;;;;;
Insgesamt;127595,80845009294;131726,31276231696;135159,38890456292;136587,60494783084;134113,5764611157;133219,07044096699;125444,00000000001
Bruttoinlandsverbrauch;141791,82887082585;149770,38044348964;152810,3499862308;155953,4676208527;152541,23971394138;153622,93808899468;144169,2
– Umwandlungseinsatz;43729,78555373222;50303,67664942023;52905,483135560055;56494,615076320704;54899,51142027872;61454,25884160411;58867,9
+ Umwandlungsausstoß;35429,910382093774;39140,00954330218;41716,5259994958;43419,68399616456;42975,16430523139;47532,63786011137;46621,6
– Verbrauch des Sektors Energie;1910,748042;2281,8339288;2317,223066657143;2225,851066052758;2434,8336280927556;2536,8222128400025;2529,8
– Transportverluste;3874,913615768015;4484,241943135161;4019,7135765188086;3945,576173120575;3941,3018420319645;3780,239566754841;3794,3
– Nichtenergetischer Verbrauch;110,48251399757949;114,32629018379514;125,06730242766486;119,50435369235004;127,17214856948706;165,185524394424;154,8
Quelle: Statistik Austria – Energiestatistik (Revision 2020),;;;;;;;
;;;;;;;
;;;;;;;
