Mandatsverteilung im Wiener Gemeinderat (und Landtag) seit 1945;;;;;;;
Jahr (1);Mandatsverteilung im Wiener Gemeinderat (und Landtag);;;;;;
;SPÖ;ÖVP;GRÜNE;NEOS;FPÖ;KPÖ;LIF
1945;58;36;–;–;–;6;–
1949;52;35;–;–;6;7;–
1954;59;35;–;–;–;6;–
1959;60;33;–;–;4;3;–
1964;60;35;–;–;3;2;–
1969;63;30;–;–;4;–;–
1973;66;31;–;–;3;–;–
1978;62;35;–;–;3;–;–
1983;61;37;–;–;2;–;–
1987;62;30;–;–;8;–;–
1991;52;18;7;–;23;–;–
1996;43;15;7;–;29;–;6
2001;52;16;11;–;21;–;–
2005;55;18;14;–;13;–;–
2010;49;13;11;–;27;–;–
2015;44;7;10;5;34;–;–
2020;46;22;16;8;8;–;–
Quelle: Stadtwahlbehörde.;;;;;;;
(1) 1969: 3 Mandate DFP = Demokratische Fortschrittliche Partei – Wahlgemeinschaft Franz Olah.;;;;;;;
;;;;;;;
