Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) in Wien nach Wirtschaftstätigkeiten und Geschlecht 2022;;;;;Hilfstabelle;;
Abschnitte (ÖNACE 2008);Insgesamt;"Arbeitslose Personen (inkl. SchulungsteilnehmerInnen)
im Jahresdurchschnitt";;;;;
;;Anteil in % (1);Geschlecht;;;;
;;;Männer;Frauen;insgesamt;Frauen;Männer
Insgesamt;138341,08333333326;100;77481;60859,41666666654;0;0;0
Land- und Forstwirtschaft_ Fischerei;292,999999999992;0,21179536327181103;169,416666666659;123,58333333332602;;;
Bergbau und Gewinnung von Steinen und Erden;17,66666666666;0,01277036888896707;13,083333333327;4,583333333329;;;
Herstellung von Waren;4482,166666666666;3,239938967274726;2912,833333333333;1569,3333333333253;;;
Energieversorgung;83,83333333332502;0,06059901463351154;59,49999999999302;24,333333333326003;;;
Wasserversorgung_ Abwasser- und Abfallentsorgung;172,91666666666003;0,12499299738026252;149,66666666666003;23,249999999997;;;
Bau;8574,249999999996;6,197905779977388;7687,916666666669;886,333333333326;;;
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;17476,500000000007;12,63290671064815;7921,000000000001;9555,49999999999;;;
Verkehr und Lagerei;7094,916666666666;5,128568098293291;5899,916666666663;1194,9999999999932;;;
Beherbergung und Gastronomie;12881,750000000004;9,311586760500774;6606,999999999998;6274,749999999999;;;
Information und Kommunikation;3073,083333333331;2,221381573201019;1911,9999999999961;1161,083333333325;;;
Erbringung von Fiz- und Versicherungsdienstleistungen;1677,3333333333285;1,212462193383139;889,833333333326;787,499999999992;;;
Grundstücks- und Wohnungswesen;1407,9999999999914;1,0177743054154138;744,4166666666583;663,583333333326;;;
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;4695,666666666665;3,3942676705461685;2278,4166666666633;2417,2499999999964;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;25765,500000000004;18,62461922313992;14952,083333333343;10813,416666666664;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;3088,7499999999964;2,2327062399516158;1505,4999999999943;1583,2499999999923;;;
Erziehung und Unterricht;7055,083333333331;5,099774530704004;3382,083333333327;3672,999999999999;;;
Gesundheits- und Sozialwesen;12627,083333333328;9,127500688214457;5807,333333333331;6819,749999999998;;;
Kunst, Unterhaltung und Erholung;2007,666666666664;1,4512439965712753;1194,499999999992;813,1666666666579;;;
Erbringung sonstige Dienstleistungen;2911,999999999998;2,1049423134727996;1049,4999999999943;1862,4999999999943;;;
Private Haushalte;170,916666666659;0,1235472952418876;47,583333333325;123,33333333332702;;;
Exterritoriale Organisationen und Körperschaften;58,66666666665603;0,04240726272563481;24,166666666659996;34,49999999999301;;;
Sonstiges;22724,333333333332;16,426308646563786;12273,916666666657;10450,416666666668;;;
Quelle: Arbeitsmarktservice Wien, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
(1) Anteil der Beschäftigten in den einzelnen Abschnitten.;;;;;;;
