Unselbstständige Beschäftigung in Wien nach Staatsangehörigkeit seit 2013;;;;;;;;;;
Staatsangehörigkeit;Berichtsjahr;;;;;;;;;
;2013;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0;2022,0
Unselbstständige Beschäftigungsverhältnisse;791327;795978,0;801919,0;813468,0;828940,0;848531,0;861446,0;842938,0;869034,0;897849,0
ÖsterreicherInnen;611875;607418,0;607278,0;609140,0;612230,0;618479,0;621335,0;606261,0;613315,0;620405,0
AusländerInnen;179452;188560,0;194641,0;204328,0;216710,0;230052,0;242782,0;236677,0;255714,0;277444,0
EU;80835;89914,0;95828,0;102207,0;109714,0;116693,0;123282,0;121331,0;131662,0;139358,0
DEU Deutschland;19740;20076,0;20547,0;21516,0;22657,0;23876,0;24903,0;25101,0;27105,0;29234,0
POL Polen;15432;16317,0;16913,0;17624,0;18505,0;19285,0;20056,0;19041,0;20186,0;20645,0
HUN Ungarn;10931;12497,0;13611,0;14920,0;16297,0;17135,0;17803,0;17200,0;18481,0;19764,0
ROU Rumänien;6114;8883,0;10208,0;11203,0;12450,0;13560,0;14798,0;14574,0;15849,0;17179,0
SVK Slowakei;7937;8745,0;9247,0;9805,0;10339,0;10888,0;11485,0;10981,0;11865,0;12535,0
HRV Kroatien;4223;4597,0;4945,0;5383,0;5986,0;6648,0;7201,0;7791,0;9283,0;10255,0
BGR Bulgarien;2278;3719,0;4469,0;4936,0;5481,0;6070,0;6597,0;6279,0;6790,0;7513,0
Rest;14180;15080,0;15888,0;16820,0;17999,0;19231,0;20439,0;20364,0;22103,0;22233,0
Andere Staaten (1);98617;98646,0;98813,0;102121,0;106996,0;113359,0;119500,0;115346,0;124052,0;138086,0
YUG ehemaliges Jugoslawien;33786;31668,0;29404,0;27274,0;25822,0;24671,0;23100,0;20180,0;18860,0;20786,0
TUR Türkei;19017;18552,0;18123,0;18208,0;18767,0;19331,0;19715,0;18504,0;19578,0;18665,0
SRB Serbien;6115;7128,0;8385,0;10209,0;11972,0;13807,0;15395,0;15871,0;17244,0;17848,0
BIH Bosnien-Herzegowina;6880;7129,0;7435,0;7903,0;8447,0;9010,0;9503,0;9503,0;10019,0;10466,0
Rest;32819;34169,0;35466,0;38527,0;41988,0;46540,0;51787,0;51288,0;58351,0;70321,0
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;;;;;
(1) Inklusive Personen mit unbekannter Staatsangehörigkeit.;;;;;;;;;;
