Arbeitslose Personen (inkl. Schulungsteiln.) nach Geschlecht und gemeldete offene Stellen nach Gemeindebezirken 2022;;;;
Gemeindebezirk;"Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) 
im Jahresdurchschnitt";;;"Gemeldete
offene Stellen"
;insgesamt;Geschlecht;;
;;Männer;Frauen;
Wien;138341;77482;60859;18191
1. Innere Stadt;367,583333333333;197,333333333333;170,25;1615,33333333333
2. Leopoldstadt;7394,91666666667;4244,91666666667;3150;1179,75
3. Landstraße;5406,83333333333;3038,41666666667;2368,41666666667;2095,91666666667
4. Wieden;1852,66666666667;1154,58333333333;698,083333333333;323,583333333333
5. Margareten;4277,83333333333;2527,25;1750,58333333333;347,5
6. Mariahilf;1712;969,333333333333;742,666666666667;507,25
7. Neubau;1341,33333333333;767,833333333333;573,5;614,416666666667
8. Josefstadt;930,083333333333;543,333333333333;386,75;293,416666666667
9. Alsergrund;1737,66666666667;1010,41666666667;727,25;457,25
10. Favoriten;20854,8333333333;12161,0833333333;8693,75;1817,5
11. Simmering;9423,75;4881,16666666667;4542,58333333333;696,833333333333
12. Meidling;9109,83333333333;5101,66666666667;4008,16666666667;759,666666666667
13. Hietzing;2358,66666666667;1281,41666666667;1077,25;350,333333333333
14. Penzing;6064,66666666667;3451,66666666667;2613;449,666666666667
15. Rudolfsheim-Fünfhaus;7050,75;4217,91666666667;2832,83333333333;543,5
16. Ottakring;8356,16666666667;5012,16666666667;3344;658,083333333333
17. Hernals;3955,66666666667;2311,83333333333;1643,83333333333;286,416666666667
18. Währing;2410,08333333333;1349,08333333333;1061;195,333333333333
19. Döbling;3647,91666666667;1983,58333333333;1664,33333333333;548,5
20. Brigittenau;8112,75;4708,91666666667;3403,83333333333;344,583333333333
21. Floridsdorf;13598,0833333333;7190,5;6407,58333333333;909,166666666667
22. Donaustadt;11719,8333333333;6022,41666666667;5697,41666666667;1596,25
23. Liesing;6657,16666666667;3354,83333333333;3302,33333333333;1601,16666666667
Quelle: Arbeitsmarktservice Wien, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;
;;;;
