Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung in Wien nach Staatsangehörigkeit und Geschlecht 2017;;;;;;;
Höchste abgeschlossene Ausbildung;Insgesamt;Staatsangehörigkeit;;;;;
;;Österreich;;;Fremde;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;Männer;Frauen;;Männer;Frauen
Wien;1073987;721576;354049;367527;352411;179464;172947
Pflichtschule *;235973;106876;46861;60015;129097;64956;64141
Lehre ;242828;176033;107135;68898;66795;40444;26351
Berufsbildende mittlere Schule **;103753;78992;30463;48529;24761;11793;12968
Allgemein bildende höhere Schule ;117148;76406;36895;39511;40742;18883;21859
Berufsbildende höhere Schule ***;82608;65726;35654;30072;16882;8869;8013
Kolleg ;10712;8976;2989;5987;1736;722;1014
Akademie ****;19633;15454;3082;12372;4179;1855;2324
Hochschule *****;261332;193113;90970;102143;68219;31942;36277
Quelle: Statistik Austria – Bildungsstandregister (Abgestimmte Erwerbsstatistik).;;;;;;;

* Inklusive Personen ohne Pflichtschulabschluss.
** Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung.
*** Inklusive lehrerbildende höhere Schulen.
**** Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen; inklusive Abschlüsse verschiedener Universitätslehrgänge.
***** Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten. Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters.;;;;;;;
Anmerkung: Für ca. 5% der Personen musste die höchste abgeschlossene Ausbildung geschätzt werden, ein Großteil davon sind Personen, die nach 2001 zugewandert sind (d.h. etwa ein Drittel der Personen ab 15 Jahren mit nichtösterreichischer Staatsbürgerschaft haben einen geschätzten Abschluss).;;;;;;;
