In Kinderbetreuungseinrichtungen betreute Kinder in Wien seit 1989/90;;;;;
Jahr **;Insgesamt;Betreute Kinder * – davon in…;;;
;;Kleinkindergruppen;Kindergärten;Horten;Familiengruppen
1989/90;54169;5786;33779;14604;–
1990/91;54005;5498;34022;14485;–
1991/92;54492;5351;34406;14735;–
1992/93;56270;5339;35345;15586;–
1993/94;58284;5568;36855;15861;–
1994/95;59334;5651;37380;16303;–
1995/96;60373;5769;38095;16509;–
1996/97;61948;6161;39164;16623;–
1997/98;63384;6693;39640;17051;–
1998/99;63201;7284;39383;16534;–
1999/00;63828;7652;39734;16442;–
2000/01;64421;7821;39901;16699;–
2001/02;64146;8025;39726;16395;–
2002/03;63463;7621;36960;16380;2502
2003/04;64166;7516;36998;16649;3003
2004/05;65999;7663;35630;16995;5711
2005/06;67719;7656;35673;17315;7075
2006/07;68618;7629;35022;17542;8425
2007/08;71521;7636;34635;18636;10614
2008/09;74858;8219;35898;18933;11808
2009/10;76567;9246;37131;17431;12759
2010/11;81236;12556;35711;18275;14694
2011/12;81121;9917;35989;18113;17102
2012/13;82376;10337;35891;17904;18244
2013/14;86251;10985;36118;17830;21318
2014/15;89806;12132;35270;17920;24484
Quelle: MA 10 – Kindertagesheimstatistik und Berechnungen MA 23;;;;;
* Ohne Kinder bei Tageseltern, Kindergruppen entsprechend der Altersstruktur auf die anderen Betreuungsformen aufgeteilt.       
** 2011/12: Aufgrund einer Änderung bei der Aufteilung der Kindergruppen kam es zu einem Rückgang bei den Kleinkindergruppen und einem Anstieg bei den Familiengruppen.                                  
2014/15: Geschätzte Werte. Der Anstieg im ist darauf zurückzuführen, dass in den Vorjahren eine Untererfassung von neu eröffneten Kindergruppen vorlag.;;;;;
;;;;;
;;;;;
;;;;;
Alte Anmerkungen;;;;;
;;;;;
* 2012: Aufgrund einer Änderung bei der Aufteilung der Kindergruppen kommt es im Jahr 2012 gegenüber dem Vorjahr zu einem Rückgang bei den Kleinkindergruppen und einem Anstieg bei den Familiengruppen.                                  
** Ohne Kinder bei Tageseltern, Kindergruppen entsprechend der Altersstruktur auf die anderen Betreuungsformen aufgeteilt.;;;;;
;;;;;
Ohne Kinder bei Tageseltern.
2009/10 - 2010/11: Durch die Einführung des verpflichtenden Kindergartenjahres stieg die Zahl der betreuten Kinder stark an.
Bis zum Jahr 2010/11 wurden Kinder in Kindergruppen teilweise bei anderen Gruppenformen erfasst.
(2014/15) Geschätzte Werte. Der Anstieg im Jahr 2014/15 ist darauf zurückzuführen, dass in den Vorjahren eine Untererfassung von neu eröffneten Kindergruppen vorlag.;;;;;
