P0003a;;;;;;;;;;
Krankestalten in Wien 2020;;;;;;;;;;
"Krankestalt
(Gemeindebezirk)";"Systematisierte
Betten";"Tatsächlich
aufgestellte Betten";"Ärztinnen
und Ärzte";"Personen in
nicht ärztlichen
Gesundheitsberufen";"Stationäre
Patientinnen
und Patienten";"Ø Belagsdauer
in Tagen";;Betten-Belags-tage;;
Wien (1);15144;13938;7058;23838;463494;8,184882652202617;;;;Wien
Gemeinnützige Krankestalten in städtischer Verwaltung;;;;;;;;;;
Insgesamt;9833;9002;5010;16941;235741;10,877509639816578;;;;
Spitäler;7339;6537;4902;14798;232982;7,316440755079792;;;;
Allgemeines Krankenhaus der Stadt Wien (9,);1726;1535;1590;4926;59403;7,063077622342;;;;
WGV Klinik Landstraße (3,);699;652;457;1254;24825;5,994441087613;;;;
WGV Klinik Favoriten (10,) (2);781;649;474;1361;23539;7,497514762734;;;;
WGV Klinik Hietzing (13,);983;846;521;1577;30351;7,015221903726;;;;
WGV Klinik Penzing (14,) (3);453;389;178;825;6861;14,45663897391;;;;
WGV Klinik Ottakring (16,);978;878;595;1753;29674;7,904057424007;;;;
WGV Klinik Floridsdorf (21,) (4);756;678;474;1334;20799;8,081686619549;;;;
WGV Klinik Donaustadt (22,);963;910;613;1768;37530;6,527924327204;;;;
Pflegewohnhäuser (5);2494;2465;108;2143;2759;311,5897064153679;;;;
WGV Pflegewohnhaus Leopoldstadt (2,);306;303;11;230;404;255,586633663366;;;;
WGV Pflegewohnhaus Innerfavoriten (10,);266;263;8;205;280;327,478571428571;;;;
WGV Pflegewohnhaus Simmering (11,);348;346;14;272;345;350,884057971014;;;;
WGV Pflegewohnhaus Meidling (12,);256;255;10;204;250;358,34;;;;
WGV Pflegewohnhaus Baumgarten (14,);290;289;23;311;528;185,183712121212;;;;
WGV Pflegewohnhaus Rudolfsheim (15,);324;323;11;265;343;333,68804664723;;;;
WGV Pflegewohnhaus Donaustadt (22,);382;368;20;407;327;393,48623853211;;;;
WGV Pflegewohnhaus Liesing (23,);322;318;11;249;282;401,358156028369;;;;
Krankestalten in Wien 2020 – Fortsetzung;;;;;;;;;;
"Krankestalt
(Gemeindebezirk)";"Systematisierte
Betten";"Tatsächlich
aufgestellte Betten";"Ärztinnen
und Ärzte";"Personen in
nicht ärztlichen
Gesundheitsberufen";"Stationäre
Patientinnen
und Patienten";"Ø Belagsdauer
in Tagen";;;;
Gemeinnützige Krankestalten in sonstiger Verwaltung;;;;;;;;;;
Insgesamt;4210;3923;1773;5581;174973;5,872100266898322;;;;
Anton Proksch Institut (23,);223;254;26;60;1743;41,699368904188;;;;
Rehaklinik Wien Baumgarten (14,);222;222;23;100;2855;22,643782837127;;;;
Evangelisches Krankenhaus Wien (18,);268;226;105;290;14068;3,459624680125;;;;
Franziskus Spital (3,, 5,) (6);240;233;93;338;13671;4,308097432521;;;;
Hanusch-Krankenhaus (14,);447;316;327;870;29644;2,758197274321;;;;
Haus der Barmherzigkeit Seeböckgasse (16,) (5);350;350;17;284;322;390,527950310559;;;neu;
Haus der Barmherzigkeit Tokiostraße (22,) (5);270;270;13;228;195;500,097435897436;;;neu;
Herz-Jesu Krankenhaus (3,);169;150;112;278;12251;3,479307811607;;;neu;
Krankenhaus der Barmherzigen Brüder (2,);407;399;226;575;25895;2,910793589496;;;;
Krankenhaus der Barmherzigen Schwestern (6,);221;206;128;300;13884;3,992437337942;;;;
Krankenhaus Göttlicher Heiland (17,);274;267;153;380;10175;7,248452088452;;;;
Neurologisches Rehabilitationszentrum Rosenhügel (13,);147;147;16;118;1655;29,076132930513;;;;
Orthopädisches Spital Speising (13,);280;242;165;432;13178;4,000758840491;;;;
AUVA-Rehabilitationszentrum Meidling (12,);52;52;14;94;296;36,993243243243;;;;
St, Anna Kinderspital (9,);122;119;80;263;8452;1,819214387127;;;;
St, Josef Krankenhaus (13,);216;180;129;354;16155;2,792324357783;;;;
AUVA-Traumazentrum Wien (12,, 20,) (7);302;290;146;617;10534;5,512340991076;;;;
Nicht gemeinnützige Krankestalten;;;;;;;;;;
Insgesamt;1101;1013;275;1316;52780;3,825502084122774;;;;
Goldenes Kreuz Privatklinik (9,);131;94;22;116;5875;2,762212765957;;;;
Heeresspital Wien (21,);27;25;35;52;397;3,659949622166;;;;
Kuzbari Zentrum für Ästhetische Medizin (1,);9;9;6;20;794;1,241813602015;;;;
Privatklinik Confraternität (8,);96;96;15;132;6999;2,228175453636;;;;
Privatklinik Döbling (19,);160;160;38;249;14803;2,767141795581;;;;
Privatklinik Währing (18,);20;20;4;20;2253;0,587217043941;;;;
Rudolfinerhaus Privatklinik (19,);155;149;27;245;9201;3,30148896859;;;;
Sanatorium Hera (9,);165;102;92;236;4396;3,718380345768;;;;
Sanatorium Liebhartstal (16,) (5);137;137;2;45;304;114,065789473684;;;;
"Sonderkrankestalt der 
Justizanstalt Wien-Josefstadt (8,)";56;76;20;31;567;36,208112874779;;;;
Wiener Privatklinik (9,);145;145;14;170;7191;3,258795716868;;;;
Quelle: Bundesministerium für Soziales, Gesundheit, Pflege und Konsumentenschutz,;;;;;;;;;;
Anmerkungen: Als Krankestalt der Stadt Wien gilt weiters das Therapiezentrum Ybbs - Psychiatrisches Krankenhaus, welches jedoch in dieser Tabelle nicht angeführt wird, da es sich nicht in Wien befindet,;;;;;;;;;;
