Todesursachen in Wien nach ICD-10-Klassifikation, Geschlecht und Altersgruppen 2021;;;;;;;;;
Todesursache nach ICD-10-Klassifikation;Insgesamt;Gestorbene (1);;;;;;;
;;Männer im Alter von…;;;;Frauen im Alter von…;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+
Wien;18086;91;287;1676;6779;57;136;916;8144
Infektiöse und parasitäre Krankheiten;204;0;6;37;63;1;5;9;83
Bösartige, gutartige und andere Neubildungen;4184;8;33;464;1670;6;42;407;1554
Krankheiten des Blutes und des Immunsystems;47;0;0;5;9;1;1;1;30
Endokrine, Ernährungs- und Stoffwechselkrankheiten;976;5;7;100;373;3;6;51;431
Psychische Krankheiten und Verhaltensstörungen;594;0;23;66;171;0;4;24;306
Krankheiten des Nervensystems, des Auges und des Ohres;537;3;12;37;191;2;2;25;265
Krankheiten des Kreislaufsystems;5924;1;32;356;2179;5;18;124;3209
Krankheiten des Atmungssystems;930;0;6;66;375;2;2;38;441
Krankheiten des Verdauungssystems;669;0;30;135;223;0;9;47;225
Krankheiten der Haut und der Unterhaut;16;0;0;1;3;0;0;0;12
Krankheiten des Muskel-Skelett-Systems und des Bindegewebes;58;0;0;3;13;0;0;6;36
Krankheiten des Urogenitalsystems;381;0;2;7;116;0;0;9;247
Schwangerschaft, Geburt und Wochenbett;1;0;0;0;0;0;0;1;0
Perinatale Affektionen;46;28;0;0;0;18;0;0;0
Angeborene Anomalien;51;10;5;8;2;10;2;9;5
Symptome und abnorme klinische und Laborbefunde;1007;6;16;120;447;2;9;52;355
Verletzungen, Vergiftungen, Folgen äußerer Ursachen;2461;30;115;271;944;7;36;113;945
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
(1) Inklusive Auslandssterbefälle,;;;;;;;;;
;;;;;;;;;
