Ispruchnahme von Vorsorgeuntersuchungen (Bevölkerung ab 18 Jahren) in Wien nach Altersgruppen und Geschlecht 2021;;;;;;;;;;;;;;;;
Altersgruppe;Allgemeines Untersuchungsprogramm;;;;;;"Gynäkologisches
Untersuchungsprogramm";;;;;;;;;
;insgesamt;;Männer;;Frauen;;;;;;;;;;;
;absolut;"Anteil an
Bevölkerung (in %)";absolut;"Anteil an männlicher
Bevölkerung (in %)";absolut;"Anteil an weiblicher
Bevölkerung (in %)";absolut;"Anteil an weiblicher
Bevölkerung (in %)";;;;;;;;
Insgesamt;271935;17,1;121913;15,8;150022;18,2;97655;11,9;;;;;;;;
18–24;20544;12,4;8616;10,4;11928;14,4;10272;12,4;;;;;;;;
25–29;26703;16,8;11275;14,1;15428;19,5;13545;17,1;;;;;;;;
30–34;29975;18,6;13429;16,4;16546;20,9;13338;16,8;;;;;;;;
35–39;28210;19;12949;17,2;15261;20,8;11035;15,1;;;;;;;;
40–44;26456;19,9;12066;18;14390;21,9;9273;14,1;;;;;;;;
45–49;24730;19,3;11225;17,8;13505;20,8;8695;13,4;;;;;;;;
50–54;26457;19,2;12213;17,9;14244;20,4;8372;12;;;;;;;;
55–59;24776;18,6;11846;17,8;12930;19,3;7041;10,5;;;;;;;;
60–64;19557;18,1;9333;17,9;10224;18,3;5419;9,7;;;;;;;;
65–69;14595;17,4;6395;16,8;8200;17,8;3959;8,6;;;;;;;;
70–74;11966;15,2;5232;15,2;6734;15,3;3157;7,2;;;;;;;;
75+;17966;11,5;7334;12,1;10632;11,1;3549;3,7;;;;;;;;
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Statistik Austria und Berechnungen der Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
