Ispruchnahme von Vorsorgeuntersuchungen (Bevölkerung ab 18 Jahren) in Wien nach Geschlecht seit 1999;;;;;;;;;
Jahr;Allgemeines Untersuchungsprogramm;;;;;;"Gynäkologisches
Untersuchungs-
programm";;
;insgesamt;;Männer;;Frauen;;;;
;absolut;Anteil an Bevölkerung (in %);absolut;Anteil an männlicher Bevölkerung (in %);absolut;Anteil an weiblicher Bevölkerung (in %);absolut;Anteil an weiblicher Bevölkerung (in %);
1999;97969;7,69294796743754;45021;7,690980467188497;52948;7,694621699507496;3690;0,5362460163024602;
2000;102149;7,9876294141565785;47003;7,964261387319673;55146;8,007655380111695;3422;0,4969027075534439;
2001;112207;8,707957816379096;50654;8,477628526766438;61553;8,907105801998394;3630;0,5252838051964026;
2002;123038;9,428697762563692;56909;9,356601115051552;66129;9,491637816703697;3506;0,503223732180483;
2003;133314;10,1095707789012;61475;9,976355348121654;71839;10,226425085838255;3701;0,5268447395243165;
2004;142427;10,679376514624375;63869;10,230416222839798;78558;11,074505292806604;4364;0,6152033032639327;
2005;137713;10,186573484714554;62743;9,886049582297348;74970;10,452495311922705;3949;0,5505789514043319;
2006;154148;11,288494154659137;71629;11,156504755170255;82519;11,405623267089982;4285;0,5922647596248207;
2007;171333;12,467636233446997;79565;12,308408670416505;91768;12,609062454485748;3924;0,5391635545222961;
2008;182897;13,217211707938912;84132;12,915249241652033;98765;13,4857987091101;4045;0,5523217311633711;
2009;168563;12,102655342527914;77025;11,7377867585879;91538;12,427721729166413;18057;2,451521458449583;
2010;173686;12,382554091598362;79625;12,038911576556895;94061;12,68916858904313;27870;3,7597636488728803;
2011;181540;12,83918206616486;83004;12,433994400478161;98536;13,20157128387612;35260;4,724033890856864;
2012;192317;13,440056914273574;87363;12,907005089641213;104954;13,918539530726376;41017;5,43949478754315;
2013;197726;13,593320967810685;89439;12,968507807436385;108287;14,156662339411103;44003;5,752635246346345;
2014;199241;13,477410028728304;90659;12,901724660553956;108582;13,998947970976374;56081;7,230249960033211;
2015;200912;13,164802474232209;92041;12,593830130178615;108871;13,689506191467746;73492;9,240929072235467;
2016;214793;14;98540;13,4;116253;14,5;82378;10,3;
2017;224509;14,4;102459;13,7;122050;15,1;85850;10,6;
2018;236056;15,1;107770;14,3;128286;15,8;84933;10,5;
2019;256371;16,3;115787;15,3;140584;17,2;88835;10,9;
2020;220750;13,9;98342;12,8;122408;14,9;84475;10,3;
2021;271935;17,1;121913;15,8;150022;18,2;97655;11,9;
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Statistik Austria und Berechnungen der Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
