Suizide nach Methode, Geschlecht und Altersgruppen 2021;;;;;;;;;
Methode;Insgesamt;Gestorbene;;;;;;;
;;Männer im Alter von… Jahren;;;;Frauen im Alter von… Jahren;;;
;;0–24;25–44;45–64;65+;0–24;25–44;45–64;65+
Wien;151;4;29;35;43;1;10;14;15
Vergiften mit festen oder flüssigen Stoffen;16;1;3;5;0;1;1;1;4
Vergiften mit sonstigen Gasen;2;0;1;1;0;0;0;0;0
Erhängen, Erdrosseln, Ersticken;54;1;15;11;14;0;6;4;3
Ertränken;1;0;0;0;0;0;0;1;0
Feuerwaffen, Explosionsstoffe;28;0;2;8;18;0;0;0;0
Schneidende und stechende Gegenstände;3;0;1;0;1;0;0;0;1
Stumpfe Gegenstände;0;0;0;0;0;0;0;0;0
Sturz in die Tiefe;32;1;5;6;8;0;1;5;6
Überfahren lassen;12;1;2;3;2;0;1;2;1
Beabsichtigter Verkehrsunfall;0;0;0;0;0;0;0;0;0
Sonstige oder nicht näher bezeichnete Weise;3;0;0;1;0;0;1;1;0
Quelle: Statistik Austria – Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
