Lebendgeborene, Totgeborene und gestorbene Säuglinge in Wien nach Geschlecht und Geburtsgewicht 2020;;;;;;;;;;;
"Geburtsgewicht
in Gramm";Lebendgeborene;;;Totgeborene;;;Gestorbene Säuglinge;;;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;;
;;Buben;Mädchen;;Buben;Mädchen;;Buben;Mädchen;;
Wien;19156;9847;9309;88;48;40;90;49;41;;
unter 500;41;23;18;–;–;–;41;24;17;;
500–799;46;23;23;18;10;8;19;9;10;;
800–999;31;20;11;12;3;9;3;2;1;;
1,000–1,499;101;56;45;12;7;5;3;2;1;;
1,500–1,999;223;106;117;12;7;5;1;–;1;;
2,000–2,499;718;305;413;13;9;4;5;1;4;;
2,500–2,999;2969;1299;1670;10;6;4;4;2;2;;
3,000–3,499;7292;3488;3804;6;1;5;6;4;2;;
3,500–3,999;5763;3246;2517;2;2;–;8;5;3;;
4,000–4,499;1605;1049;556;3;3;–;–;–;–;;
4,500–4,999;199;144;55;–;–;–;–;–;–;;
5,000 und mehr;168;88;80;–;–;–;–;–;–;;
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung, Todesursachenstatistik, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
