GesamtzuzÃƒÂ¼ge nach Gemeindebezirken seit 2012;;;;;;;;88535
Gemeindebezirk;Berichtsjahr;;;;;;;1786
;2012;2013;2014;2015;2016;2017;2018;2019
Wien (1);90441;94034;100138;115238;104906;98926;88535;91246
1. Innere Stadt;1710;1762;2031;1880;1956;1849;1786;1703
2. Leopoldstadt;13928;14459;14719;15013;15591;14728;13571;14637
3. LandstraÃƒÅ¸e;10178;10440;11186;13144;12624;11973;12448;11738
4. Wieden;4335;4483;4402;5649;5432;5397;5386;5126
5. Margareten;7852;8004;8494;8990;8882;8967;8555;8104
6. Mariahilf;4910;4963;5056;5674;5228;5196;5158;5250
7. Neubau;4335;4622;4776;5119;5273;5037;4749;4556
8. Josefstadt;5229;5497;5861;6375;6370;6551;6145;5650
9. Alsergrund;7271;7461;7274;11297;8426;8236;7322;7409
10. Favoriten;19892;21488;21094;23339;23070;24735;22767;23604
11. Simmering;8402;8635;9366;10743;11300;9689;10297;10193
12. Meidling;10804;10765;11345;12833;13329;13855;12565;12028
13. Hietzing;4350;4566;5106;6272;5651;5583;4870;4965
14. Penzing;9057;9346;9671;10916;10158;10397;9873;10095
15. Rudolfsheim-FÃƒÂ¼nfhaus;12543;12321;13078;14668;14359;13754;12519;12684
16. Ottakring;12902;13132;13570;14714;15098;14328;13354;13323
17. Hernals;7847;8033;8473;8692;8715;8361;8059;7767
18. WÃƒÂ¤hring;6097;5897;6360;6955;7448;6712;6234;6423
19. DÃƒÂ¶bling;6886;7233;7189;8302;7840;8216;7921;8508
20. Brigittenau;10444;10735;11259;11400;12188;12252;11405;11279
21. Floridsdorf;11920;11757;12690;14799;14366;15634;14690;14541
22. Donaustadt;11453;11573;13541;16985;14598;14135;15193;15761
23. Liesing;6564;6719;6768;7806;9574;9859;9350;10838
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
(1) Summe ohne WanderungsfÃƒÂ¤lle zwischen den Gemeindebezirken.;;;;;;;;
