NatÃƒÂ¼rliche BevÃƒÂ¶lkerungsbewegung fÃƒÂ¼r Wien nach StaatsangehÃƒÂ¶rigkeit seit 1971;;;;;;;;;
Jahr *;Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;StaatsangehÃƒÂ¶rigkeit;;insgesamt;StaatsangehÃƒÂ¶rigkeit;;insgesamt;StaatsangehÃƒÂ¶rigkeit;
;;Ãƒâ€“sterreich;Fremde;;Ãƒâ€“sterreich;Fremde;;Ãƒâ€“sterreich;Fremde
1971;17198;15673;1525;28516;28126;390;-11318;-12453;1135
1972;16236;14319;1917;26920;26510;410;-10684;-12191;1507
1973;15752;13188;2564;26364;25896;468;-10612;-12708;2096
1974;16052;13118;2934;26734;26301;433;-10682;-13183;2501
1975;14713;11866;2847;27125;26672;453;-12412;-14806;2394
1976;13404;11005;2399;26771;26353;418;-13367;-15348;1981
1977;13087;10739;2348;25857;25433;424;-12770;-14694;1924
1978;13339;10835;2504;26212;25793;419;-12873;-14958;2085
1979;13540;10989;2551;25337;24952;385;-11797;-13963;2166
1980;14399;11786;2613;25352;24929;423;-10953;-13143;2190
1981;15117;12370;2747;25247;24889;358;-10130;-12519;2389
1982;15007;12193;2814;24633;24219;414;-9626;-12026;2400
1983;14505;12064;2441;24677;24226;451;-10172;-12162;1990
1984;14440;12203;2237;23457;22911;546;-9017;-10708;1691
1985;14353;12205;2148;23727;23287;440;-9374;-11082;1708
1986;14539;12324;2215;22828;22390;438;-8289;-10066;1777
1987;14827;12439;2388;22193;21743;450;-7366;-9304;1938
1988;15567;13003;2564;21644;21174;470;-6077;-8171;2094
1989;15941;13027;2914;20875;20345;530;-4934;-7318;2384
1990;16376;13308;3068;20830;20326;504;-4454;-7018;2564
1991;17216;13454;3762;20853;20344;509;-3637;-6890;3253
1992;17427;13134;4293;20898;20345;553;-3471;-7211;3740
1993;17339;12759;4580;20159;19549;610;-2820;-6790;3970
1994;17064;12780;4284;19632;19068;564;-2568;-6288;3720
1995;16261;12130;4131;19783;19180;603;-3522;-7050;3528
1996;16242;12376;3866;19346;18787;559;-3104;-6411;3307
1997;15505;12027;3478;18452;17933;519;-2947;-5906;2959
1998;15235;11935;3300;18082;17552;530;-2847;-5617;2770
1999;15157;11931;3226;17983;17445;538;-2826;-5514;2688
2000;15547;12363;3184;17588;17045;543;-2041;-4682;2641
2001;15167;12025;3142;16943;16360;583;-1776;-4335;2559
2002;16428;13202;3226;16916;16305;611;-488;-3103;2615
2003;16486;13320;3166;16980;16302;678;-494;-2982;2488
2004;16856;13659;3197;15983;15360;623;873;-1701;2574
2005;16740;13493;3247;16027;15385;642;713;-1892;2605
2006;17112;13603;3509;15796;15119;677;1316;-1516;2832
2007;16885;13109;3776;15825;15089;736;1060;-1980;3040
2008;17375;13159;4216;15702;14946;756;1673;-1787;3460
2009;17154;12561;4593;16332;15276;1056;822;-2715;3537
2010;17989;13070;4919;16287;15223;1064;1702;-2153;3855
2011;18170;12963;5207;15918;14786;1132;2252;-1823;4075
2012;18265;12756;5509;16404;15201;1203;1861;-2445;4306
2013;18691;12826;5865;16332;15034;1298;2359;-2208;4567
2014;19260;12849;6411;16014;14630;1384;3246;-1781;5027
2015;19931;13019;6912;16526;15165;1361;3405;-2146;5551
2016;20804;13071;7733;16031;14604;1427;4773;-1533;6306
2017;20576;13327;7249;16424;14932;1492;4152;-1605;5757
2018;20038;12930;7108;16237;14975;1262;3801;-2045;5846
2019;19935;12919;7016;16150;14502;1648;3785;-1583;5368
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik der natÃƒÂ¼rlichen BevÃƒÂ¶lkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
* Ohne SterbefÃƒÂ¤lle von Wienerinnen und Wienern im Ausland.;;;;;;;;;
