Lufttemperatur und Luftfeuchtigkeit in Wien nach Monaten 2022;;;;;;;
Monat;Mittlere Temperatur;Abweichung vom NW (1);Höchste Temperatur;;Tiefste Temperatur;;Mittlere relative Feuchtigkeit
;°C;;°C;Tag;°C;Tag;%
2022;12,225;1,7750000000000004;36,3;5. 8.;-7,1;13. 12.;67,25
Jänner;3,2;2,9000000000000004;15,7;5;-5,3;12;72
Februar;6,1;4,6;18,3;17;-1,3;13;61
März;6;0,2999999999999998;22,2;29;-3,8;1;50
April;9,8;-0,8999999999999986;23,2;14;-0,4;4;61
Mai;17,6;1,9000000000000021;31,4;20;7,1;19;60
Juni;21,9;3,1999999999999993;33,9;29;12;15;61
Juli;22,7;1,8999999999999986;35,5;20;13;11;54
August;22,6;2,400000000000002;36,3;5;14,5;12;60
September;15,3;-0,09999999999999964;27,9;7;4,2;23;74
Oktober;12,7;2,5;23,9;6;4,3;20;83
November;6,6;1,5;19,1;2;-1,1;19;86
Dezember;2,2;1,1;13,3;24;-7,1;13;85
Quelle: GeoSphere Austria.;;;;;;;
(1) NW = Normalwert_ Abweichung vom langjährigen Mittelwert der Jahre 1981–2010.;;;;;;;
