Niederschläge in Wien nach Monaten 2022;;;;;;
Monat;Niederschläge;;;;Tage mit…;
;mm;Abweichung vom NW (1) in %;Tagesmaximum;;Niederschlag;Gewitter
;;;mm;Tag;;
2022;461;-29,164105716041803;29;14, 9,;157;15
Jänner;34;-10,290237467018471;8;23;12;1
Februar;22;-45,137157107231914;5;7;16;–
März;15;-70,8171206225681;10;31;2;–
April;36;-19,463087248322154;6;19;12;2
Mai;52;-24,637681159420282;11;6;16;1
Juni;82;17,142857142857153;24;5;14;5
Juli;26;-63,015647226173535;6;14;11;3
August;42;-41,666666666666664;17;21;11;1
September;72;18,42105263157896;29;14;20;2
Oktober;16;-57,67195767195767;5;24;11;–
November;32;-34,15637860082305;10;24;14;–
Dezember;32;-33,609958506224075;7;9;18;–
Quelle: GeoSphere Austria,;;;;;;
(1) NW = Normalwert_ langjähriger Mittelwert der Jahre 1981–2010, Rundungsdifferenzen nicht ausgeglichen,;;;;;;
